Rk,Name,Lg,G,GS,Inn,SB,CS,CS%,Name-additional
1,Jorge Alfaro,NL,28,28,243.1,13,4,24%,alfarjo01
2,Alex Avila,MLB,78,70,614.1,38,17,31%,avilaal01
3,Alex Avila,AL,50,46,405.1,22,11,33%,avilaal01
4,Alex Avila,NL,28,24,209.0,16,6,27%,avilaal01
5,Jett Bandy,NL,50,44,399.0,34,7,17%,bandyje01
6,Austin Barnes,NL,55,49,438.1,24,7,23%,barneau01
7,Tucker Barnhart,NL,110,105,926.1,41,32,44%,barnhtu01
8,Rob Brantly,AL,6,5,42.0,4,1,20%,brantro01
9,Drew Butera,AL,74,43,432.0,27,9,25%,buterdr01
10,Victor Caratini,NL,12,7,75.2,6,2,25%,caratvi01
11,Curt Casali,AL,8,2,28.0,2,1,33%,casalcu01
12,Welington Castillo,AL,88,86,753.1,25,24,49%,castiwe01
13,Jason Castro,AL,108,104,908.2,42,15,26%,castrja01
14,Juan Centeno,AL,22,15,140.2,11,1,8%,centeju01
15,Francisco Cervelli,NL,78,75,645.1,44,11,20%,cervefr01
16,Robinson Chirinos,AL,85,80,691.1,46,15,25%,chiriro01
17,Willson Contreras,NL,108,91,821.1,61,23,27%,contrwi01
18,Travis d'Arnaud,NL,93,88,771.1,55,11,17%,darnatr01
19,Taylor Davis,NL,1,1,3.0,2,0,0%,davista01
20,Elias Díaz,NL,55,44,407.1,19,8,30%,diazel01
21,A.J. Ellis,NL,39,36,329.0,10,5,33%,ellisaj01
22,Eduardo Escobar,AL,1,0,1.0,0,0,,escobed01
23,Kyle Farmer,NL,3,0,7.0,0,0,,farmeky01
24,Tim Federowicz,NL,6,1,17.1,1,0,0%,federti01
25,Tyler Flowers,NL,85,85,745.0,55,16,23%,flowety01
26,David Freitas,NL,6,5,42.0,1,1,50%,freitda01
27,Eric Fryer,NL,26,15,162.2,5,3,38%,fryerer01
28,Rocky Gale,NL,3,3,23.0,5,0,0%,galero01
29,Cam Gallagher,AL,13,6,64.0,6,1,14%,gallaca01
30,Dustin Garneau,MLB,40,33,296.2,9,6,40%,garnedu01
31,Dustin Garneau,NL,22,18,170.2,6,2,25%,garnedu01
32,Dustin Garneau,AL,18,15,126.0,3,4,57%,garnedu01
33,Mitch Garver,AL,13,4,50.2,3,1,25%,garvemi01
34,Evan Gattis,AL,49,47,413.2,35,4,10%,gattiev01
35,Chris Gimenez,AL,59,54,475.2,30,13,30%,gimench01
36,Yan Gomes,AL,103,96,856.0,33,24,42%,gomesya01
37,Tuffy Gosewisch,AL,10,8,76.0,3,1,25%,gosewtu01
38,Yasmani Grandal,NL,117,113,999.1,44,21,32%,grandya01
39,Juan Graterol,AL,47,26,245.0,20,10,33%,grateju01
40,Ryan Hanigan,NL,30,29,257.0,10,3,23%,hanigry01
41,Austin Hedges,NL,115,109,933.1,45,26,37%,hedgeau01
42,Chris Herrmann,NL,45,35,317.2,25,10,29%,herrmch01
43,John Hicks,AL,18,12,115.1,4,2,33%,hicksjo02
44,Kyle Higashioka,AL,8,5,48.0,2,0,0%,higasky01
45,Bryan Holaday,AL,11,7,63.0,2,0,0%,holadbr01
46,Nick Hundley,NL,82,65,608.1,36,15,29%,hundlni01
47,Chris Iannetta,NL,78,70,632.2,25,8,24%,iannech01
48,A.J. Jimenez,AL,5,1,20.0,0,0,,jimenaj01
49,Caleb Joseph,AL,79,69,621.2,45,10,18%,josepca01
50,Carson Kelly,NL,31,14,162.0,6,5,45%,kellyca02
51,Andrew Knapp,NL,53,51,448.1,33,8,20%,knappan01
52,Erik Kratz,AL,2,0,2.0,0,0,,kratzer01
53,Ryan Lavarnway,AL,5,4,35.0,1,1,50%,lavarry01
54,Sandy Leon,AL,84,77,699.1,31,18,37%,leonsa01
55,Jose Lobatón,NL,50,43,376.0,33,8,20%,lobatjo01
56,Rafael Lopez,AL,24,17,158.1,16,1,6%,lopezra02
57,Jonathan Lucroy,MLB,110,108,947.2,55,20,27%,lucrojo01
58,Jonathan Lucroy,AL,66,65,578.0,31,13,30%,lucrojo01
59,Jonathan Lucroy,NL,44,43,369.2,24,7,23%,lucrojo01
60,Luke Maile,AL,46,36,339.1,17,9,35%,mailelu01
