last_name, first_name,player_id,year,r_total_caught_stealing,r_total_stolen_base,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,r_total_pickoff,n_bolts,hp_to_1b,sprint_speed,
Beltre, Adrian,134181,2018,0,1,0,0,0,0,0,0,0,1,0,0,,4.75,24.8,
Suzuki, Ichiro,400085,2018,0,0,0,0,0,0,0,0,0,0,0,0,,4.1,27.4,
Martinez, Victor,400121,2018,0,0,0,0,0,0,0,0,0,0,0,0,,4.87,23.2,
Utley, Chase,400284,2018,1,3,1,0,0,0,0,0,3,0,0,0,,4.27,27.2,
Pujols, Albert,405395,2018,0,1,0,0,0,0,0,0,0,1,0,0,,5.01,22.2,
Holliday, Matt,407812,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,25.2,
Mauer, Joe,408045,2018,1,0,1,0,0,0,0,0,0,0,0,0,,4.57,26.0,
Cabrera, Miguel,408234,2018,0,0,0,0,0,0,0,0,0,0,0,0,,4.93,23.9,
Gonzalez, Adrian,408236,2018,0,0,0,0,0,0,0,0,0,0,0,0,,4.76,24.3,
Phillips, Brandon,408252,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,25.8,
Reyes, Jose,408314,2018,2,5,1,1,0,1,0,0,3,2,0,1,1,4.17,27.5,
Mathis, Jeff,425772,2018,0,0,0,0,0,0,0,0,0,0,0,0,,4.64,25.7,
Choo, Shin-Soo,425783,2018,1,6,1,0,0,0,0,0,5,1,0,0,1,4.43,26.0,
Rivera, Rene,425784,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,24.4,
Wainwright, Adam,425794,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Greinke, Zack,425844,2018,0,3,0,0,0,0,0,0,2,1,0,0,,,23.2,
Molina, Yadier,425877,2018,3,4,2,1,0,1,0,0,3,1,0,1,,4.91,22.8,
Cano, Robinson,429664,2018,0,0,0,0,0,0,0,0,0,0,0,0,,4.59,24.4,
Encarnacion, Edwin,429665,2018,0,3,0,0,0,0,0,0,3,0,0,0,,4.85,24.3,
Bautista, Jose,430832,2018,3,4,2,1,0,1,1,0,4,0,0,2,,4.74,25.5,
Hamels, Cole,430935,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,23.2,
Jones, Adam,430945,2018,1,7,1,0,0,0,0,0,6,1,0,0,,4.53,26.7,
Martin, Russell,431145,2018,3,0,3,0,0,0,0,0,0,0,0,0,,4.76,25.5,
Granderson, Curtis,434158,2018,1,2,1,0,0,0,0,0,2,0,0,0,,4.31,26.8,
Davis, Rajai,434658,2018,7,21,6,1,0,2,1,0,16,5,0,3,20,4.08,29.2,
Ramirez, Hanley,434670,2018,1,4,1,0,0,0,0,0,3,1,0,0,,4.68,25.7,
Sanchez, Anibal,434671,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Morales, Kendrys,434778,2018,3,2,3,0,0,0,0,0,2,0,0,0,,4.96,23.4,
