game_id,num_sb_events,innings
ARI201803290,1,6.1;
ARI201803300,2,1.1;3.0;
ARI201803310,1,6.0;
ARI201804020,1,12.1;
ARI201804030,0,
ARI201804040,2,2.1;6.1;
ARI201804170,0,
ARI201804180,2,6.0;10.0;
ARI201804190,1,3.0;
ARI201804200,2,1.1;8.1;
ARI201804210,5,3.0;4.0;6.0;6.1;7.1;
ARI201804220,2,4.1;
ARI201804300,1,3.1;
ARI201805010,3,7.1;8.1;
ARI201805020,1,9.1;
ARI201805030,2,6.1;9.0;
ARI201805040,0,
ARI201805050,1,9.1;
ARI201805060,0,
ARI201805100,3,5.1;10.1;11.1;
ARI201805110,0,
ARI201805120,1,6.0;
ARI201805130,2,1.0;6.1;
ARI201805140,3,2.0;7.0;
ARI201805150,0,
ARI201805160,2,1.0;3.1;
ARI201805280,2,6.1;
ARI201805290,0,
ARI201805300,1,6.0;
ARI201806010,0,
ARI201806020,1,3.1;
ARI201806030,1,8.1;
ARI201806110,1,8.1;
ARI201806120,1,5.1;
ARI201806130,0,
ARI201806140,1,1.1;
ARI201806150,4,4.0;6.1;
ARI201806160,1,6.0;
ARI201806170,1,7.0;
ARI201806290,1,4.0;
ARI201806300,0,
ARI201807010,3,1.1;4.1;6.0;
ARI201807020,0,
ARI201807030,1,5.1;
ARI201807040,1,8.0;
ARI201807050,2,6.0;7.0;
ARI201807060,2,2.0;8.1;
ARI201807070,0,
ARI201807080,4,3.1;5.0;8.0;14.0;
ARI201807200,4,1.0;5.1;6.1;9.1;
ARI201807210,1,6.0;
ARI201807220,0,
ARI201807300,1,6.0;
ARI201807310,0,
ARI201808020,1,3.1;
ARI201808030,0,
ARI201808040,1,7.1;
ARI201808050,3,2.0;5.0;6.1;
ARI201808060,3,9.1;10.0;11.1;
ARI201808070,0,
ARI201808080,1,1.0;
ARI201808210,1,3.1;
ARI201808220,1,7.1;
ARI201808240,2,3.0;7.0;
ARI201808250,1,3.0;
ARI201808260,0,
ARI201809030,0,
ARI201809040,1,7.1;
ARI201809060,1,10.0;
ARI201809070,2,6.1;8.0;
ARI201809080,5,6.1;7.0;8.0;9.0;10.0;
ARI201809090,4,4.0;8.1;
ARI201809170,1,9.1;
ARI201809180,0,
ARI201809190,0,
ARI201809210,0,
ARI201809220,0,
ARI201809230,1,1.1;
ARI201809240,1,9.0;
ARI201809250,2,8.1;9.0;
ARI201809260,0,
