game_id,num_sb_events,innings
ATL201803290,1,6.0;
ATL201803300,4,2.1;4.0;6.0;
ATL201803310,1,1.0;
ATL201804020,2,4.1;7.0;
ATL201804030,3,1.0;3.0;4.1;
ATL201804040,1,6.0;
ATL201804160,1,1.1;
ATL201804170,2,10.0;
ATL201804180,0,
ATL201804190,0,
ATL201804200,5,2.1;3.1;4.0;7.1;8.1;
ATL201804210,5,3.0;6.1;7.1;9.0;
ATL201805040,0,
ATL201805050,0,
ATL201805060,1,1.0;
ATL201805150,4,1.0;1.1;2.1;3.1;
ATL201805160,0,
ATL201805180,1,5.0;
ATL201805190,1,2.1;
ATL201805200,1,9.1;
ATL201805281,2,5.0;9.0;
ATL201805282,0,
ATL201805290,3,1.0;9.0;
ATL201805300,1,7.0;
ATL201805310,3,1.0;1.1;3.0;
ATL201806010,0,
ATL201806020,1,11.0;
ATL201806030,3,5.0;7.0;8.1;
ATL201806120,2,6.1;
ATL201806130,1,7.1;
ATL201806140,1,5.1;
ATL201806150,0,
ATL201806160,0,
ATL201806170,3,1.0;6.0;
ATL201806220,3,3.0;10.0;10.1;
ATL201806230,1,8.1;
ATL201806240,1,3.1;
ATL201806250,0,
ATL201806260,3,2.1;3.0;4.0;
ATL201806270,1,5.1;
ATL201807100,2,6.1;8.0;
ATL201807110,0,
ATL201807130,0,
ATL201807140,0,
ATL201807150,0,
ATL201807260,0,
ATL201807270,0,
ATL201807280,0,
ATL201807290,1,4.1;
ATL201807300,1,1.0;
ATL201807310,0,
ATL201808100,1,1.1;
ATL201808110,2,1.0;9.0;
ATL201808120,3,1.1;5.0;8.0;
ATL201808131,1,5.1;
ATL201808132,0,
ATL201808140,3,1.0;2.0;3.0;
ATL201808150,3,1.0;4.1;6.1;
ATL201808160,4,1.1;9.0;9.1;
ATL201808170,2,6.0;7.0;
ATL201808180,4,6.1;8.1;9.0;
ATL201808190,1,1.0;
ATL201808280,3,1.1;3.0;7.0;
ATL201808290,3,1.0;3.0;
ATL201808300,1,1.1;
ATL201808310,4,1.0;1.1;7.0;8.0;
ATL201809010,3,1.0;4.0;8.1;
ATL201809020,2,1.0;8.1;
ATL201809030,1,8.1;
ATL201809040,2,3.0;8.0;
ATL201809050,0,
ATL201809140,1,3.0;
ATL201809150,6,1.0;4.0;7.0;
ATL201809160,0,
ATL201809170,0,
ATL201809180,2,2.1;3.0;
ATL201809190,2,4.0;5.1;
ATL201809200,5,5.1;7.0;7.1;8.1;
ATL201809210,1,3.0;
ATL201809220,3,1.1;2.1;4.1;
ATL201809230,1,9.0;
