game_id,num_sb_events,innings
BAL201803290,3,3.1;4.0;5.0;
BAL201803310,0,
BAL201804010,1,5.0;
BAL201804090,0,
BAL201804100,2,1.1;6.0;
BAL201804110,0,
BAL201804200,2,2.0;5.0;
BAL201804210,3,6.0;7.0;9.0;
BAL201804220,0,
BAL201804230,1,3.1;
BAL201804250,2,2.0;5.0;
BAL201804260,3,3.1;5.0;9.0;
BAL201804270,1,6.1;
BAL201804280,1,2.0;
BAL201804290,2,7.1;8.1;
BAL201805080,0,
BAL201805090,1,9.0;
BAL201805100,1,5.0;
BAL201805110,0,
BAL201805121,2,2.1;3.0;
BAL201805122,1,8.0;
BAL201805130,2,1.0;3.0;
BAL201805160,1,2.0;
BAL201805280,0,
BAL201805290,3,4.0;6.0;
BAL201805300,1,9.1;
BAL201806010,2,5.0;6.0;
BAL201806020,2,6.0;8.0;
BAL201806110,3,6.0;9.1;12.1;
BAL201806120,0,
BAL201806130,2,3.1;4.0;
BAL201806150,1,2.0;
BAL201806160,0,
BAL201806170,1,2.0;
BAL201806250,1,2.0;
BAL201806260,2,1.0;4.1;
BAL201806270,1,8.0;
BAL201806280,1,8.1;
BAL201806290,0,
BAL201806300,0,
BAL201807010,0,
BAL201807091,1,6.1;
BAL201807092,2,3.0;7.1;
BAL201807100,0,
BAL201807110,1,1.0;
BAL201807120,0,
BAL201807130,2,5.1;9.1;
BAL201807140,2,1.0;6.1;
BAL201807150,2,6.1;7.0;
BAL201807230,2,5.0;7.0;
BAL201807240,2,6.1;7.1;
BAL201807260,2,3.0;7.0;
BAL201807270,0,
BAL201807280,0,
BAL201807290,2,1.0;2.1;
BAL201808100,3,3.1;4.1;5.0;
BAL201808111,1,6.0;
BAL201808112,6,3.0;4.1;5.0;6.1;7.1;9.0;
BAL201808120,1,9.0;
BAL201808140,0,
BAL201808150,1,1.0;
BAL201808240,1,10.0;
BAL201808251,0,
BAL201808252,2,3.0;5.0;
BAL201808260,4,1.1;5.1;6.1;7.1;
BAL201808270,2,3.1;7.1;
BAL201808280,1,4.1;
BAL201808290,3,1.1;6.1;8.1;
BAL201809110,2,2.1;8.1;
BAL201809120,1,1.0;
BAL201809130,1,7.1;
BAL201809140,0,
BAL201809150,3,3.0;6.0;8.0;
BAL201809160,3,1.1;2.1;3.0;
BAL201809170,2,4.1;
BAL201809180,5,1.1;3.1;4.0;6.1;8.0;
BAL201809190,0,
BAL201809280,1,3.1;
BAL201809291,0,
BAL201809292,0,
BAL201809300,2,4.1;
