game_id,num_sb_events,innings
BOS201804050,1,12.1;
BOS201804070,0,
BOS201804080,1,5.0;
BOS201804100,1,2.1;
BOS201804110,2,6.0;9.0;
BOS201804120,1,9.0;
BOS201804130,0,
BOS201804140,0,
BOS201804150,3,3.0;5.1;7.1;
BOS201804270,3,4.1;5.0;9.0;
BOS201804280,0,
BOS201804290,2,6.1;8.1;
BOS201804300,0,
BOS201805010,2,6.0;8.0;
BOS201805020,0,
BOS201805140,1,3.1;
BOS201805150,0,
BOS201805160,1,2.1;
BOS201805170,4,1.1;5.1;
BOS201805180,1,2.1;
BOS201805190,1,1.1;
BOS201805200,0,
BOS201805250,2,5.1;7.1;
BOS201805260,0,
BOS201805270,0,
BOS201805280,2,2.0;6.1;
BOS201805290,1,4.1;
BOS201805300,3,3.1;5.0;8.1;
BOS201806050,1,1.1;
BOS201806060,0,
BOS201806070,0,
BOS201806080,0,
BOS201806090,1,5.1;
BOS201806100,2,2.1;
BOS201806220,2,6.1;7.1;
BOS201806230,1,3.1;
BOS201806240,2,3.0;7.1;
BOS201806260,0,
BOS201806270,2,1.1;5.1;
BOS201806280,0,
BOS201807090,0,
BOS201807100,1,7.1;
BOS201807110,1,8.0;
BOS201807120,1,3.1;
BOS201807130,1,2.1;
BOS201807140,1,8.1;
BOS201807150,1,7.1;
BOS201807260,1,8.0;
BOS201807270,1,3.1;
BOS201807280,3,6.0;6.1;8.1;
BOS201807290,0,
BOS201807300,3,9.0;10.1;13.1;
BOS201807310,3,1.1;6.0;
BOS201808020,4,1.1;3.1;4.1;
BOS201808030,1,1.1;
BOS201808040,0,
BOS201808050,1,2.1;
BOS201808170,1,7.0;
BOS201808180,3,1.1;
BOS201808190,1,9.0;
BOS201808200,1,4.1;
BOS201808210,1,7.0;
BOS201808220,1,2.1;
BOS201808230,2,3.0;3.1;
BOS201808280,2,5.0;7.1;
BOS201808290,1,4.0;
BOS201809070,1,1.1;
BOS201809080,0,
BOS201809090,1,5.0;
BOS201809110,2,6.0;8.1;
BOS201809120,3,5.1;8.1;
BOS201809130,3,6.1;8.1;
BOS201809140,3,3.1;8.0;
BOS201809150,2,1.1;4.0;
BOS201809160,3,2.0;7.1;8.0;
BOS201809240,2,1.1;4.1;
BOS201809261,2,2.1;5.0;
BOS201809262,4,5.1;7.0;9.0;
BOS201809280,0,
BOS201809290,2,2.1;
BOS201809300,0,
