game_id,num_sb_events,innings
CHA201804050,3,2.0;2.1;3.0;
CHA201804070,4,3.0;4.0;8.0;9.0;
CHA201804080,5,1.0;2.1;3.1;4.0;5.0;
CHA201804090,6,6.0;6.1;8.0;8.1;
CHA201804100,3,6.0;9.0;9.1;
CHA201804110,2,2.0;7.1;
CHA201804200,3,4.0;4.1;5.1;
CHA201804210,0,
CHA201804220,0,
CHA201804230,2,5.1;
CHA201804240,3,1.1;5.0;5.1;
CHA201804250,2,1.1;7.0;
CHA201805030,3,3.1;5.1;8.1;
CHA201805040,2,5.0;8.1;
CHA201805050,2,7.1;8.0;
CHA201805060,1,7.0;
CHA201805080,2,1.0;6.0;
CHA201805090,1,6.1;
CHA201805170,1,3.1;
CHA201805180,1,1.0;
CHA201805190,1,6.1;
CHA201805200,3,1.0;3.1;7.1;
CHA201805210,1,8.0;
CHA201805220,1,8.1;
CHA201805230,4,4.1;5.1;
CHA201805240,1,6.0;
CHA201806010,2,3.1;5.1;
CHA201806020,2,1.0;6.1;
CHA201806030,2,6.0;6.1;
CHA201806110,3,1.1;3.0;7.0;
CHA201806120,1,2.1;
CHA201806130,1,5.1;
CHA201806140,3,3.0;5.1;7.0;
CHA201806150,3,4.0;8.0;
CHA201806160,2,5.1;7.1;
CHA201806170,2,1.1;7.0;
CHA201806221,0,
CHA201806222,0,
CHA201806230,4,2.1;3.0;6.1;9.0;
CHA201806240,2,2.1;5.1;
CHA201806260,0,
CHA201806270,1,2.1;
CHA201806280,6,1.0;3.1;7.0;9.1;11.1;13.1;
CHA201807100,0,
CHA201807110,0,
CHA201807130,0,
CHA201807140,2,3.0;8.0;
CHA201807150,1,1.1;
CHA201807270,0,
CHA201807280,2,5.0;6.1;
CHA201807290,2,6.0;6.1;
CHA201807310,3,1.1;7.0;8.1;
CHA201808010,3,2.1;3.1;5.0;
CHA201808020,2,3.1;8.0;
CHA201808060,0,
CHA201808070,0,
CHA201808080,3,3.0;5.1;7.0;
CHA201808100,2,1.0;
CHA201808110,1,5.0;
CHA201808120,2,2.0;4.0;
CHA201808170,4,1.0;4.1;6.1;7.1;
CHA201808180,4,2.0;3.1;5.1;9.0;
CHA201808190,1,4.0;
CHA201808210,3,2.1;4.0;8.1;
CHA201808220,1,1.1;
CHA201808300,2,1.0;7.1;
CHA201808310,2,1.0;7.0;
CHA201809010,0,
CHA201809020,4,2.0;3.1;5.0;
CHA201809030,0,
CHA201809040,2,3.0;6.0;
CHA201809050,1,2.0;
CHA201809070,0,
CHA201809080,4,1.0;3.0;4.1;6.0;
CHA201809090,1,8.0;
CHA201809210,1,4.1;
CHA201809220,1,6.1;
CHA201809230,2,2.1;3.0;
CHA201809240,1,5.0;
CHA201809250,1,6.0;
CHA201809260,0,
