game_id,num_sb_events,innings
CHN201804100,0,
CHN201804110,2,1.0;6.1;
CHN201804120,1,6.0;
CHN201804130,1,7.0;
CHN201804140,0,
CHN201804170,0,
CHN201804190,1,1.0;
CHN201804260,4,1.1;4.0;4.1;7.0;
CHN201804270,2,1.0;1.1;
CHN201804280,1,3.1;
CHN201804290,2,1.0;8.0;
CHN201804300,0,
CHN201805010,1,6.0;
CHN201805020,1,3.0;
CHN201805070,0,
CHN201805080,0,
CHN201805090,1,1.0;
CHN201805110,0,
CHN201805120,2,2.1;6.1;
CHN201805130,4,1.1;4.1;
CHN201805140,3,3.1;6.0;9.0;
CHN201805220,1,2.1;
CHN201805230,2,1.0;8.0;
CHN201805250,2,7.1;8.1;
CHN201805260,1,8.0;
CHN201805270,0,
CHN201806050,0,
CHN201806060,3,4.1;6.1;
CHN201806070,1,5.1;
CHN201806080,3,1.0;4.1;5.1;
CHN201806090,0,
CHN201806100,1,3.0;
CHN201806191,0,
CHN201806192,1,6.0;
CHN201806200,3,2.1;4.1;8.1;
CHN201806290,1,3.0;
CHN201806300,1,5.0;
CHN201807010,1,8.1;
CHN201807030,1,6.1;
CHN201807040,4,4.1;5.0;
CHN201807060,3,1.0;3.0;4.1;
CHN201807070,5,4.0;6.0;8.0;8.1;
CHN201807080,4,3.0;5.0;8.0;9.0;
CHN201807190,2,7.1;
CHN201807200,0,
CHN201807211,3,1.0;2.0;5.1;
CHN201807212,2,2.0;7.1;
CHN201807220,2,2.1;8.1;
CHN201807230,0,
CHN201807240,0,
CHN201807250,1,2.0;
CHN201807260,1,3.1;
CHN201808020,1,3.0;
CHN201808030,0,
CHN201808040,0,
CHN201808050,3,4.0;5.1;8.0;
CHN201808100,2,2.0;8.1;
CHN201808110,2,3.0;3.1;
CHN201808120,0,
CHN201808140,0,
CHN201808150,2,4.1;8.1;
CHN201808230,5,1.0;5.0;5.1;6.1;
CHN201808240,1,4.1;
CHN201808250,0,
CHN201808260,0,
CHN201808270,5,1.0;1.1;5.0;6.1;
CHN201808280,3,3.0;7.0;10.0;
CHN201808290,0,
CHN201809100,3,1.0;6.0;9.1;
CHN201809110,1,2.1;
CHN201809120,4,2.1;7.0;9.0;
CHN201809140,1,5.0;
CHN201809150,3,1.0;6.0;
CHN201809160,0,
CHN201809240,0,
CHN201809250,0,
CHN201809260,1,4.1;
CHN201809270,3,3.0;4.1;8.1;
CHN201809280,0,
CHN201809290,0,
CHN201809300,0,
CHN201810010,2,3.0;8.0;
