game_id,num_sb_events,innings
CIN201803300,2,4.1;9.0;
CIN201803310,1,6.0;
CIN201804010,2,1.0;7.0;
CIN201804020,1,7.0;
CIN201804120,1,3.1;
CIN201804130,2,2.0;9.0;
CIN201804140,3,3.0;4.0;5.0;
CIN201804150,2,5.0;9.0;
CIN201804230,1,8.1;
CIN201804240,1,7.1;
CIN201804250,2,1.0;7.0;
CIN201804260,1,8.0;
CIN201804300,5,1.0;2.1;6.0;7.0;8.0;
CIN201805010,4,1.1;2.1;6.1;9.0;
CIN201805020,1,9.0;
CIN201805040,0,
CIN201805050,0,
CIN201805060,0,
CIN201805070,0,
CIN201805080,0,
CIN201805090,1,5.0;
CIN201805180,1,6.0;
CIN201805191,3,1.1;8.1;11.0;
CIN201805192,0,
CIN201805200,0,
CIN201805220,1,7.1;
CIN201805230,0,
CIN201805240,0,
CIN201806050,1,4.0;
CIN201806060,0,
CIN201806070,0,
CIN201806080,1,6.1;
CIN201806090,1,7.0;
CIN201806100,2,5.1;7.1;
CIN201806190,1,5.0;
CIN201806200,2,1.1;8.0;
CIN201806210,2,3.1;6.1;
CIN201806220,4,2.1;5.1;8.1;
CIN201806230,1,6.1;
CIN201806240,0,
CIN201806280,1,1.1;
CIN201806290,3,5.0;8.0;
CIN201806300,0,
CIN201807010,0,
CIN201807020,1,7.0;
CIN201807030,3,8.1;11.0;12.0;
CIN201807040,2,3.0;7.0;
CIN201807200,0,
CIN201807210,1,6.0;
CIN201807220,0,
CIN201807230,0,
CIN201807240,2,3.1;7.0;
CIN201807250,0,
CIN201807260,0,
CIN201807270,0,
CIN201807280,0,
CIN201807290,2,7.1;8.1;
CIN201808100,0,
CIN201808110,3,5.1;7.1;8.1;
CIN201808120,0,
CIN201808130,3,1.0;4.1;6.0;
CIN201808140,2,1.0;3.1;
CIN201808150,2,2.0;6.0;
CIN201808170,4,3.0;5.0;5.1;8.0;
CIN201808180,1,2.1;
CIN201808190,0,
CIN201808280,1,2.1;
CIN201808290,3,5.0;6.1;8.1;
CIN201808300,0,
CIN201809060,1,5.0;
CIN201809070,1,4.0;
CIN201809080,0,
CIN201809090,2,4.0;6.1;
CIN201809100,4,1.0;6.1;9.0;
CIN201809110,0,
CIN201809120,2,1.1;7.0;
CIN201809250,2,5.0;7.1;
CIN201809260,4,1.0;3.0;
CIN201809280,2,4.1;
CIN201809290,1,5.1;
CIN201809300,2,1.1;4.1;
