game_id,num_sb_events,innings
CLE201804060,1,7.1;
CLE201804070,5,5.0;6.1;7.1;8.1;
CLE201804080,2,4.0;8.1;
CLE201804090,1,7.1;
CLE201804100,1,7.0;
CLE201804110,2,3.0;4.1;
CLE201804120,0,
CLE201804130,4,2.1;7.0;9.0;
CLE201804240,0,
CLE201804250,0,
CLE201804260,1,7.1;
CLE201804270,0,
CLE201804280,2,3.0;
CLE201804290,0,
CLE201804300,2,2.0;8.1;
CLE201805010,1,3.0;
CLE201805020,0,
CLE201805031,7,3.1;4.1;7.0;8.0;8.1;
CLE201805032,0,
CLE201805110,0,
CLE201805120,0,
CLE201805130,1,4.1;
CLE201805240,3,1.0;5.0;6.0;
CLE201805250,2,1.0;7.1;
CLE201805260,2,1.0;5.0;
CLE201805270,0,
CLE201805280,3,1.0;3.1;4.0;
CLE201805290,2,2.0;5.1;
CLE201805300,1,1.0;
CLE201806050,0,
CLE201806060,3,5.1;6.1;8.1;
CLE201806150,0,
CLE201806160,1,2.0;
CLE201806170,1,7.1;
CLE201806180,3,1.0;1.1;2.1;
CLE201806190,2,3.1;7.1;
CLE201806200,5,3.0;3.1;5.1;6.1;
CLE201806220,1,5.1;
CLE201806230,4,2.0;3.1;6.0;7.0;
CLE201806240,3,2.1;
CLE201807060,4,1.0;4.1;7.1;
CLE201807070,4,5.1;8.1;11.0;
CLE201807080,0,
CLE201807090,2,3.0;7.0;
CLE201807100,0,
CLE201807110,0,
CLE201807120,3,1.1;3.1;8.0;
CLE201807130,2,1.1;8.0;
CLE201807140,1,3.1;
CLE201807150,4,5.0;8.1;
CLE201807230,0,
CLE201807240,0,
CLE201807250,3,1.0;3.1;8.1;
CLE201808030,3,1.0;6.1;8.0;
CLE201808040,2,1.1;8.1;
CLE201808050,1,8.0;
CLE201808060,3,3.1;4.1;5.0;
CLE201808070,0,
CLE201808080,3,1.1;3.1;8.1;
CLE201808090,2,1.0;9.1;
CLE201808170,1,9.0;
CLE201808180,2,6.1;8.0;
CLE201808190,1,1.1;
CLE201808280,0,
CLE201808290,1,1.1;
CLE201808300,1,7.1;
CLE201808310,4,5.1;8.1;
CLE201809010,4,1.1;2.0;4.1;
CLE201809020,1,3.1;
CLE201809030,2,3.1;9.0;
CLE201809040,0,
CLE201809050,1,6.1;
CLE201809140,1,8.0;
CLE201809150,0,
CLE201809160,2,2.0;5.0;
CLE201809180,3,5.1;7.1;8.1;
CLE201809190,0,
CLE201809200,2,4.1;8.1;
CLE201809210,1,6.1;
CLE201809220,3,6.0;7.1;11.1;
CLE201809230,2,7.1;9.1;
