game_id,num_sb_events,innings
COL201804060,2,1.1;5.0;
COL201804070,3,3.1;9.0;10.0;
COL201804080,1,5.0;
COL201804090,1,8.0;
COL201804100,1,7.1;
COL201804110,1,3.1;
COL201804200,0,
COL201804210,3,2.0;5.1;6.1;
COL201804220,2,1.1;2.1;
COL201804230,4,1.1;3.1;4.1;7.0;
COL201804240,0,
COL201804250,2,2.0;6.0;
COL201805080,1,8.0;
COL201805090,0,
COL201805100,1,8.0;
COL201805110,2,4.1;8.0;
COL201805120,0,
COL201805130,0,
COL201805250,1,4.0;
COL201805260,1,4.0;
COL201805270,0,
COL201805280,4,6.1;7.1;9.0;9.1;
COL201805290,2,4.0;7.1;
COL201805300,1,1.1;
COL201806010,0,
COL201806020,0,
COL201806030,1,6.0;
COL201806080,1,6.1;
COL201806090,2,5.1;8.0;
COL201806100,3,4.1;6.1;7.0;
COL201806180,1,2.0;
COL201806190,0,
COL201806200,1,7.1;
COL201806210,1,4.1;
COL201806220,0,
COL201806230,0,
COL201806240,1,3.1;
COL201807020,0,
COL201807030,1,4.1;
COL201807040,0,
COL201807100,0,
COL201807110,1,1.1;
COL201807120,4,4.0;5.1;7.1;8.0;
COL201807130,2,4.0;5.1;
COL201807140,3,1.1;4.1;5.1;
COL201807150,1,6.0;
COL201807240,0,
COL201807250,2,2.1;7.0;
COL201807270,0,
COL201807280,0,
COL201807290,0,
COL201808060,0,
COL201808070,0,
COL201808080,4,1.0;2.0;7.1;8.0;
COL201808090,3,2.0;2.1;9.0;
COL201808100,3,1.1;4.1;6.1;
COL201808110,1,7.0;
COL201808120,3,8.0;9.0;
COL201808210,0,
COL201808220,4,1.1;3.0;6.1;8.1;
COL201808230,2,6.1;9.1;
COL201808240,2,2.0;8.0;
COL201808250,3,1.1;8.0;
COL201808260,0,
COL201809030,4,4.0;7.1;8.1;
COL201809040,5,1.0;6.0;6.1;7.1;
COL201809050,0,
COL201809070,2,5.0;7.0;
COL201809080,1,8.0;
COL201809090,2,6.0;9.1;
COL201809100,2,1.1;6.1;
COL201809110,3,6.0;8.0;
COL201809120,2,2.0;3.0;
COL201809130,1,5.1;
COL201809240,0,
COL201809250,0,
COL201809260,0,
COL201809270,1,8.0;
COL201809280,1,3.0;
COL201809290,0,
COL201809300,2,1.0;5.1;
