game_id,num_sb_events,innings
DET201803300,3,6.0;10.0;
DET201804011,2,3.1;9.0;
DET201804012,2,3.0;5.0;
DET201804020,1,1.0;
DET201804030,0,
DET201804130,1,5.0;
DET201804170,0,
DET201804180,0,
DET201804190,0,
DET201804201,1,5.1;
DET201804202,1,3.1;
DET201804210,0,
DET201804220,1,5.0;
DET201804300,1,9.1;
DET201805010,2,2.0;3.0;
DET201805020,0,
DET201805121,1,2.1;
DET201805122,2,4.1;7.0;
DET201805130,3,1.0;5.1;8.0;
DET201805140,2,3.1;8.1;
DET201805150,1,1.0;
DET201805160,0,
DET201805250,1,4.0;
DET201805260,1,2.1;
DET201805270,2,1.0;2.0;
DET201805280,1,3.0;
DET201805290,1,3.1;
DET201805300,2,1.1;3.0;
DET201805310,1,8.1;
DET201806010,2,2.1;6.1;
DET201806020,1,5.1;
DET201806030,2,4.1;5.0;
DET201806041,1,2.0;
DET201806042,0,
DET201806080,1,7.1;
DET201806090,3,1.1;9.1;
DET201806100,3,2.0;4.0;5.0;
DET201806120,2,3.0;6.1;
DET201806130,2,1.0;3.1;
DET201806140,1,5.1;
DET201806250,1,3.0;
DET201806260,0,
DET201806270,1,7.1;
DET201806280,0,
DET201807050,3,2.1;4.0;6.0;
DET201807060,1,3.0;
DET201807070,1,1.1;
DET201807080,1,1.1;
DET201807200,1,7.0;
DET201807210,1,3.0;
DET201807220,0,
DET201807270,1,3.1;
DET201807280,4,1.0;5.1;7.1;
DET201807290,2,2.1;3.0;
DET201807310,0,
DET201808010,3,3.0;4.1;7.1;
DET201808100,0,
DET201808110,1,4.1;
DET201808120,1,8.1;
DET201808130,2,1.0;4.0;
DET201808140,0,
DET201808150,0,
DET201808210,2,3.1;6.0;
DET201808220,0,
DET201808230,2,1.0;3.0;
DET201808240,1,7.1;
DET201808250,2,1.1;5.0;
DET201808260,1,7.0;
DET201809070,2,7.0;7.1;
DET201809080,0,
DET201809090,2,4.1;6.0;
DET201809100,0,
DET201809110,0,
DET201809120,1,9.0;
DET201809170,1,3.0;
DET201809180,1,1.0;
DET201809190,0,
DET201809200,1,1.0;
DET201809210,2,3.0;9.0;
DET201809220,1,3.0;
DET201809230,1,6.0;
