game_id,num_sb_events,innings
HOU201804020,1,5.1;
HOU201804030,2,6.0;7.1;
HOU201804040,2,6.0;7.1;
HOU201804060,1,2.0;
HOU201804070,2,5.1;10.1;
HOU201804080,1,5.0;
HOU201804130,1,3.1;
HOU201804140,0,
HOU201804150,1,8.1;
HOU201804230,2,6.0;8.0;
HOU201804240,2,1.1;5.0;
HOU201804250,0,
HOU201804270,0,
HOU201804280,1,3.1;
HOU201804290,1,7.1;
HOU201804300,1,8.0;
HOU201805010,1,9.0;
HOU201805020,1,8.0;
HOU201805030,0,
HOU201805110,2,4.1;8.0;
HOU201805120,1,3.1;
HOU201805130,0,
HOU201805180,2,5.1;7.1;
HOU201805190,2,6.0;8.0;
HOU201805200,1,1.1;
HOU201805220,2,2.0;5.1;
HOU201805230,4,1.1;3.1;5.1;
HOU201805310,3,4.1;5.0;6.1;
HOU201806010,2,5.0;8.0;
HOU201806020,6,2.1;6.0;8.1;9.0;
HOU201806030,2,6.0;8.0;
HOU201806050,0,
HOU201806060,1,7.0;
HOU201806180,2,3.0;8.1;
HOU201806190,2,8.0;9.0;
HOU201806200,0,
HOU201806220,1,9.0;
HOU201806230,1,9.0;
HOU201806240,2,1.0;
HOU201806250,1,7.1;
HOU201806260,1,2.0;
HOU201806270,2,1.1;7.1;
HOU201807050,2,8.0;8.1;
HOU201807060,2,2.1;3.1;
HOU201807070,3,5.0;5.1;
HOU201807080,2,3.1;8.1;
HOU201807090,0,
HOU201807100,2,1.0;4.1;
HOU201807110,1,4.1;
HOU201807120,2,3.1;9.0;
HOU201807130,1,4.1;
HOU201807140,1,3.0;
HOU201807150,1,4.1;
HOU201807270,1,8.0;
HOU201807280,1,1.0;
HOU201807290,1,8.0;
HOU201808090,1,6.0;
HOU201808100,1,2.1;
HOU201808110,1,7.0;
HOU201808120,0,
HOU201808140,0,
HOU201808150,1,4.0;
HOU201808270,0,
HOU201808280,1,4.0;
HOU201808290,0,
HOU201808300,0,
HOU201808310,0,
HOU201809010,1,1.0;
HOU201809020,0,
HOU201809030,1,8.1;
HOU201809040,0,
HOU201809050,1,3.0;
HOU201809140,1,7.1;
HOU201809150,2,3.1;
HOU201809160,1,7.1;
HOU201809170,0,
HOU201809180,1,8.1;
HOU201809190,0,
HOU201809210,0,
HOU201809220,4,5.1;8.0;8.1;
HOU201809230,0,
