game_id,num_sb_events,innings
KCA201803290,0,
KCA201803310,2,5.1;7.0;
KCA201804090,1,4.1;
KCA201804100,3,1.0;5.0;
KCA201804110,1,1.1;
KCA201804120,0,
KCA201804130,3,3.0;5.0;9.1;
KCA201804140,0,
KCA201804240,2,5.0;9.0;
KCA201804250,1,6.1;
KCA201804260,1,9.0;
KCA201804270,0,
KCA201804281,0,
KCA201804282,4,5.1;7.1;8.0;
KCA201804290,2,7.0;8.1;
KCA201805030,0,
KCA201805040,2,7.0;8.1;
KCA201805050,1,9.0;
KCA201805060,4,1.1;3.1;
KCA201805140,2,6.0;9.0;
KCA201805150,0,
KCA201805160,1,5.1;
KCA201805180,3,1.1;3.1;4.1;
KCA201805190,0,
KCA201805200,0,
KCA201805280,1,8.0;
KCA201805290,0,
KCA201805300,2,2.1;
KCA201806010,0,
KCA201806020,2,1.1;5.1;
KCA201806030,4,6.0;6.1;8.0;
KCA201806120,0,
KCA201806130,0,
KCA201806150,0,
KCA201806160,3,1.1;5.0;5.1;
KCA201806170,0,
KCA201806180,0,
KCA201806190,3,1.1;3.1;7.0;
KCA201806200,4,1.0;3.1;8.0;9.1;
KCA201806250,4,1.1;5.1;6.1;8.0;
KCA201807020,1,1.0;
KCA201807030,2,2.1;5.1;
KCA201807040,6,1.0;2.1;3.1;5.0;8.0;8.1;
KCA201807060,0,
KCA201807070,3,3.0;5.0;7.0;
KCA201807080,1,8.0;
KCA201807200,0,
KCA201807210,0,
KCA201807220,0,
KCA201807230,1,1.1;
KCA201807240,3,4.0;4.1;6.1;
KCA201807250,1,5.1;
KCA201808060,0,
KCA201808070,2,3.0;7.1;
KCA201808080,0,
KCA201808100,0,
KCA201808110,0,
KCA201808120,0,
KCA201808130,2,4.0;6.1;
KCA201808140,5,3.1;4.1;6.1;
KCA201808150,0,
KCA201808160,1,2.0;
KCA201808240,1,3.0;
KCA201808250,1,3.1;
KCA201808260,1,7.0;
KCA201808280,2,7.1;8.1;
KCA201808290,0,
KCA201808310,2,7.1;8.1;
KCA201809010,2,3.0;6.1;
KCA201809020,2,3.1;6.0;
KCA201809100,2,1.1;
KCA201809110,4,3.1;5.1;
KCA201809120,5,3.1;5.1;9.0;10.0;
KCA201809130,1,8.1;
KCA201809140,2,1.1;6.0;
KCA201809150,2,4.1;
KCA201809160,3,1.1;7.1;8.0;
KCA201809270,6,1.1;7.0;10.0;10.1;
KCA201809280,0,
KCA201809290,3,1.1;3.1;
KCA201809300,6,1.0;1.1;3.0;5.1;8.1;
