game_id,num_sb_events,innings
LAN201803290,2,1.1;7.1;
LAN201803300,0,
LAN201803310,1,1.0;
LAN201804010,2,4.1;6.0;
LAN201804100,0,
LAN201804110,0,
LAN201804130,0,
LAN201804140,1,1.1;
LAN201804150,0,
LAN201804200,0,
LAN201804210,2,5.1;8.1;
LAN201804220,4,2.0;7.1;8.0;8.1;
LAN201804230,2,4.0;8.0;
LAN201804240,0,
LAN201804250,1,9.0;
LAN201805080,1,5.0;
LAN201805090,1,4.1;
LAN201805100,0,
LAN201805110,1,6.0;
LAN201805120,0,
LAN201805130,4,2.0;8.0;
LAN201805210,1,8.0;
LAN201805220,1,6.0;
LAN201805230,0,
LAN201805250,0,
LAN201805260,1,9.0;
LAN201805270,1,1.1;
LAN201805280,1,8.1;
LAN201805290,1,4.0;
LAN201805300,1,3.1;
LAN201805310,0,
LAN201806080,2,6.1;
LAN201806090,1,3.0;
LAN201806100,2,1.1;6.1;
LAN201806120,0,
LAN201806130,2,2.1;4.1;
LAN201806150,0,
LAN201806160,1,7.0;
LAN201806170,2,6.0;8.0;
LAN201806250,0,
LAN201806260,6,2.1;4.0;7.0;8.1;9.0;
LAN201806270,0,
LAN201806280,1,2.1;
LAN201806290,1,8.0;
LAN201806300,0,
LAN201807010,2,6.1;8.1;
LAN201807020,1,2.0;
LAN201807030,1,1.1;
LAN201807040,0,
LAN201807130,2,2.0;3.0;
LAN201807140,0,
LAN201807150,1,1.1;
LAN201807300,0,
LAN201807310,0,
LAN201808010,2,5.1;9.0;
LAN201808020,1,3.1;
LAN201808030,2,8.1;9.0;
LAN201808040,2,3.1;6.0;
LAN201808050,2,3.0;8.1;
LAN201808130,4,2.1;3.0;9.0;
LAN201808140,3,6.0;8.1;9.1;
LAN201808150,2,7.1;9.1;
LAN201808200,2,7.1;8.1;
LAN201808210,1,8.0;
LAN201808220,1,9.0;
LAN201808240,0,
LAN201808250,4,2.1;7.1;10.0;
LAN201808260,1,8.0;
LAN201808300,0,
LAN201808310,0,
LAN201809010,0,
LAN201809020,0,
LAN201809030,3,2.0;3.1;9.0;
LAN201809040,2,4.1;7.1;
LAN201809050,0,
LAN201809170,0,
LAN201809180,5,3.0;4.0;6.0;7.1;9.0;
LAN201809190,1,5.1;
LAN201809210,3,3.0;5.0;8.0;
LAN201809220,1,4.0;
LAN201809230,0,
LAN201810010,1,4.0;
