game_id,num_sb_events,innings
MIA201803290,1,7.0;
MIA201803300,1,13.1;
MIA201803310,1,4.1;
MIA201804010,0,
MIA201804020,2,5.0;9.0;
MIA201804030,4,1.0;7.1;8.0;10.1;
MIA201804090,2,1.0;6.1;
MIA201804100,0,
MIA201804110,1,5.0;
MIA201804130,3,1.0;2.1;4.0;
MIA201804140,1,8.0;
MIA201804150,0,
MIA201804270,1,6.0;
MIA201804280,2,1.0;1.1;
MIA201804290,2,1.0;7.1;
MIA201804300,3,2.1;3.0;6.1;
MIA201805010,0,
MIA201805020,1,2.1;
MIA201805100,2,1.0;6.0;
MIA201805110,2,5.0;5.1;
MIA201805120,1,4.0;
MIA201805130,2,8.0;9.0;
MIA201805150,0,
MIA201805160,0,
MIA201805170,0,
MIA201805250,0,
MIA201805260,2,3.0;6.1;
MIA201805270,0,
MIA201806080,1,8.1;
MIA201806090,3,1.0;4.0;7.0;
MIA201806100,1,7.0;
MIA201806110,1,7.1;
MIA201806120,0,
MIA201806130,1,9.0;
MIA201806140,2,4.0;12.1;
MIA201806250,0,
MIA201806260,0,
MIA201806270,0,
MIA201806280,3,2.0;7.0;8.0;
MIA201806290,1,3.1;
MIA201806300,2,2.1;8.1;
MIA201807010,2,2.1;4.1;
MIA201807020,0,
MIA201807030,2,10.0;16.0;
MIA201807040,3,3.0;5.0;6.1;
MIA201807090,5,2.1;4.0;6.0;8.0;10.1;
MIA201807100,3,1.0;5.0;7.1;
MIA201807110,4,3.0;6.1;7.0;9.1;
MIA201807130,0,
MIA201807140,1,7.1;
MIA201807150,1,7.1;
MIA201807230,0,
MIA201807240,0,
MIA201807260,1,1.1;
MIA201807270,0,
MIA201807280,3,1.0;9.0;
MIA201807290,1,4.0;
MIA201808060,0,
MIA201808070,0,
MIA201808080,3,2.0;8.0;
MIA201808100,0,
MIA201808110,1,2.0;
MIA201808120,4,1.0;1.1;5.1;6.1;
MIA201808210,2,3.0;12.1;
MIA201808220,1,6.0;
MIA201808230,0,
MIA201808240,1,8.1;
MIA201808250,1,3.1;
MIA201808260,1,8.0;
MIA201808310,1,2.1;
MIA201809010,0,
MIA201809020,0,
MIA201809030,0,
MIA201809040,0,
MIA201809050,1,5.0;
MIA201809170,1,6.1;
MIA201809180,2,3.0;6.0;
MIA201809200,1,3.0;
MIA201809210,0,
MIA201809220,1,2.0;
MIA201809230,0,
