game_id,num_sb_events,innings
MIL201804020,2,3.0;6.0;
MIL201804030,2,4.0;8.0;
MIL201804040,1,2.1;
MIL201804050,3,1.1;8.0;
MIL201804060,1,6.0;
MIL201804070,1,4.0;
MIL201804080,1,1.1;
MIL201804160,0,
MIL201804170,0,
MIL201804180,1,8.1;
MIL201804190,1,1.1;
MIL201804200,1,4.1;
MIL201804210,1,6.1;
MIL201804220,1,8.1;
MIL201805040,0,
MIL201805050,1,6.0;
MIL201805060,0,
MIL201805080,0,
MIL201805090,2,1.0;5.0;
MIL201805210,1,7.1;
MIL201805220,3,8.0;8.1;9.0;
MIL201805230,0,
MIL201805240,1,7.0;
MIL201805250,2,3.1;
MIL201805260,2,1.1;4.1;
MIL201805270,1,9.0;
MIL201805280,2,7.1;
MIL201805290,0,
MIL201805300,2,2.1;5.0;
MIL201806110,2,5.0;11.0;
MIL201806120,2,5.1;7.1;
MIL201806130,4,1.1;2.0;2.1;
MIL201806150,1,2.1;
MIL201806160,3,1.1;5.1;8.0;
MIL201806170,3,1.1;3.1;6.1;
MIL201806210,1,4.1;
MIL201806220,1,6.1;
MIL201806230,2,2.0;7.1;
MIL201806240,0,
MIL201806260,1,5.1;
MIL201806270,2,5.1;7.0;
MIL201807020,0,
MIL201807030,1,5.1;
MIL201807040,3,2.0;3.1;5.0;
MIL201807050,3,1.1;2.1;3.1;
MIL201807060,2,6.0;9.0;
MIL201807070,1,7.1;
MIL201807080,2,3.1;4.1;
MIL201807200,1,1.1;
MIL201807210,0,
MIL201807220,0,
MIL201807230,1,3.1;
MIL201807240,1,10.0;
MIL201807250,0,
MIL201808030,1,2.0;
MIL201808040,0,
MIL201808050,5,5.1;6.1;9.0;9.1;10.0;
MIL201808070,0,
MIL201808080,1,2.1;
MIL201808090,2,4.1;
MIL201808200,2,1.1;2.1;
MIL201808210,3,5.0;6.1;8.1;
MIL201808220,2,3.1;4.0;
MIL201808240,1,11.0;
MIL201808250,1,3.0;
MIL201808260,3,1.0;2.1;7.1;
MIL201809030,3,5.1;8.0;9.0;
MIL201809040,2,3.1;4.1;
MIL201809050,0,
MIL201809070,1,3.0;
MIL201809080,2,1.0;8.1;
MIL201809090,2,1.1;6.0;
MIL201809140,4,5.0;5.1;6.1;
MIL201809150,2,6.0;9.0;
MIL201809160,1,6.0;
MIL201809170,1,4.1;
MIL201809180,2,2.1;6.1;
MIL201809190,2,2.0;6.1;
MIL201809280,0,
MIL201809290,3,1.0;6.0;
MIL201809300,2,6.1;
