game_id,num_sb_events,innings
MIN201804050,2,7.0;9.0;
MIN201804070,1,6.1;
MIN201804090,1,5.0;
MIN201804100,0,
MIN201804110,0,
MIN201804120,3,3.1;8.1;
MIN201804170,0,
MIN201804180,2,1.1;8.0;
MIN201804270,0,
MIN201804280,0,
MIN201804290,1,3.0;
MIN201804300,2,6.1;8.0;
MIN201805010,3,9.0;10.0;
MIN201805020,4,3.0;3.1;8.0;8.1;
MIN201805140,0,
MIN201805150,0,
MIN201805160,1,3.0;
MIN201805180,0,
MIN201805190,1,2.1;
MIN201805200,2,5.1;
MIN201805210,0,
MIN201805220,0,
MIN201805230,0,
MIN201805310,0,
MIN201806010,0,
MIN201806020,1,2.0;
MIN201806030,3,4.1;5.0;9.0;
MIN201806051,2,5.0;6.1;
MIN201806052,0,
MIN201806060,2,3.0;6.0;
MIN201806070,0,
MIN201806080,0,
MIN201806090,1,8.0;
MIN201806100,2,5.1;6.1;
MIN201806190,2,5.1;7.0;
MIN201806200,3,1.1;2.0;8.1;
MIN201806210,0,
MIN201806220,0,
MIN201806230,1,4.0;
MIN201806240,0,
MIN201807050,0,
MIN201807060,0,
MIN201807070,1,8.0;
MIN201807080,0,
MIN201807090,0,
MIN201807100,2,4.0;6.0;
MIN201807110,1,4.0;
MIN201807120,1,3.1;
MIN201807130,0,
MIN201807140,1,5.0;
MIN201807150,5,3.0;8.0;9.0;9.1;10.0;
MIN201807300,3,7.0;9.0;
MIN201807310,1,9.0;
MIN201808010,1,6.0;
MIN201808030,2,7.0;7.1;
MIN201808040,0,
MIN201808050,6,3.1;8.0;9.0;
MIN201808140,1,6.1;
MIN201808150,0,
MIN201808160,1,1.1;
MIN201808170,0,
MIN201808180,0,
MIN201808190,1,7.1;
MIN201808200,2,4.0;7.0;
MIN201808230,1,3.1;
MIN201808240,0,
MIN201808250,1,4.0;
MIN201808260,1,2.0;
MIN201809070,1,2.0;
MIN201809080,3,6.0;9.0;
MIN201809090,0,
MIN201809100,0,
MIN201809110,2,3.0;3.1;
MIN201809120,1,5.0;
MIN201809250,2,2.0;8.0;
MIN201809260,1,1.1;
MIN201809270,1,5.1;
MIN201809281,1,3.1;
MIN201809282,1,2.1;
MIN201809290,0,
MIN201809300,1,5.1;
