game_id,num_sb_events,innings
NYA201804030,0,
NYA201804040,1,4.1;
NYA201804050,2,4.1;9.0;
NYA201804060,2,11.1;13.1;
NYA201804070,2,7.1;8.1;
NYA201804080,3,6.0;8.1;12.0;
NYA201804160,0,
NYA201804170,0,
NYA201804190,1,8.1;
NYA201804200,0,
NYA201804210,0,
NYA201804220,2,7.0;7.1;
NYA201804230,1,1.1;
NYA201804240,1,4.0;
NYA201804250,1,3.0;
NYA201804260,0,
NYA201805040,1,4.0;
NYA201805050,0,
NYA201805060,1,8.0;
NYA201805080,2,7.0;8.1;
NYA201805090,1,2.1;
NYA201805100,1,4.0;
NYA201805110,0,
NYA201805120,3,5.1;6.1;8.1;
NYA201805130,2,6.1;7.1;
NYA201805250,0,
NYA201805260,2,3.1;5.1;
NYA201805270,0,
NYA201805280,1,7.1;
NYA201805290,2,5.0;9.0;
NYA201805300,1,6.1;
NYA201806120,1,6.0;
NYA201806130,4,1.0;1.1;5.1;8.0;
NYA201806140,2,6.0;7.0;
NYA201806150,1,6.0;
NYA201806160,2,1.0;3.1;
NYA201806170,0,
NYA201806190,1,1.0;
NYA201806200,0,
NYA201806210,1,8.0;
NYA201806290,2,3.0;5.0;
NYA201806300,2,2.0;6.0;
NYA201807010,1,3.0;
NYA201807020,0,
NYA201807030,3,1.0;3.1;4.1;
NYA201807040,2,5.1;7.0;
NYA201807200,0,
NYA201807210,1,5.0;
NYA201807260,3,3.0;5.0;7.0;
NYA201807281,2,1.0;4.0;
NYA201807282,2,9.0;
NYA201807290,1,7.1;
NYA201807310,1,3.1;
NYA201808010,0,
NYA201808090,0,
NYA201808100,2,3.1;5.0;
NYA201808110,2,1.0;5.0;
NYA201808120,0,
NYA201808130,2,2.0;5.0;
NYA201808140,1,4.0;
NYA201808150,1,8.0;
NYA201808160,2,1.0;6.1;
NYA201808170,0,
NYA201808180,1,1.1;
NYA201808190,2,1.1;6.0;
NYA201808270,3,2.1;3.0;9.0;
NYA201808280,1,1.0;
NYA201808290,1,7.0;
NYA201808300,1,4.0;
NYA201808310,0,
NYA201809010,2,7.0;7.1;
NYA201809020,0,
NYA201809140,0,
NYA201809150,0,
NYA201809160,0,
NYA201809180,1,7.1;
NYA201809190,0,
NYA201809200,2,1.0;1.1;
NYA201809210,3,4.1;7.0;
NYA201809220,3,1.0;9.0;10.0;
NYA201809230,1,5.0;
