game_id,num_sb_events,innings
NYN201803290,1,5.1;
NYN201803310,0,
NYN201804010,2,3.0;8.0;
NYN201804030,1,2.1;
NYN201804040,3,2.0;3.0;4.1;
NYN201804130,1,1.0;
NYN201804140,1,5.0;
NYN201804150,2,5.0;9.0;
NYN201804160,5,5.0;6.0;6.1;
NYN201804170,4,2.1;4.0;7.0;8.0;
NYN201804180,1,1.0;
NYN201805010,0,
NYN201805020,0,
NYN201805030,1,3.0;
NYN201805040,2,3.0;9.1;
NYN201805050,3,4.0;6.0;8.1;
NYN201805060,2,3.0;6.0;
NYN201805150,2,1.1;3.0;
NYN201805160,0,
NYN201805180,0,
NYN201805190,5,3.1;4.0;5.0;8.0;
NYN201805200,3,1.0;6.0;7.1;
NYN201805210,2,4.1;6.0;
NYN201805220,0,
NYN201805230,1,5.1;
NYN201805310,0,
NYN201806010,2,1.1;9.0;
NYN201806020,3,8.0;13.0;
NYN201806030,4,1.1;2.0;7.0;
NYN201806050,1,1.0;
NYN201806060,1,8.0;
NYN201806080,0,
NYN201806090,2,3.1;9.0;
NYN201806100,1,3.1;
NYN201806220,0,
NYN201806230,1,5.1;
NYN201806240,2,7.0;10.0;
NYN201806250,2,1.0;6.0;
NYN201806260,1,4.1;
NYN201806270,2,7.1;8.0;
NYN201807060,3,5.0;8.0;8.1;
NYN201807070,2,1.0;1.1;
NYN201807080,0,
NYN201807091,2,7.0;8.0;
NYN201807092,0,
NYN201807100,1,5.0;
NYN201807110,3,4.0;5.1;8.1;
NYN201807120,1,4.0;
NYN201807130,2,1.0;6.1;
NYN201807140,0,
NYN201807150,2,7.0;
NYN201807230,4,3.1;5.0;6.0;
NYN201807240,0,
NYN201807250,2,5.0;5.1;
NYN201808020,4,1.0;3.0;8.1;
NYN201808030,0,
NYN201808040,0,
NYN201808050,3,1.1;2.1;9.1;
NYN201808060,0,
NYN201808070,3,1.0;4.0;
NYN201808080,4,1.0;3.0;3.1;6.0;
NYN201808200,2,8.1;13.0;
NYN201808210,1,4.1;
NYN201808220,1,7.0;
NYN201808230,1,3.0;
NYN201808240,2,1.1;8.1;
NYN201808250,4,1.1;3.0;3.1;6.0;
NYN201808260,1,8.0;
NYN201809070,1,8.0;
NYN201809080,1,2.0;
NYN201809090,0,
NYN201809110,0,
NYN201809120,0,
NYN201809131,2,4.1;7.0;
NYN201809132,1,1.0;
NYN201809250,1,3.1;
NYN201809260,1,1.0;
NYN201809270,1,4.1;
NYN201809280,4,1.0;1.1;2.1;4.0;
NYN201809290,6,6.1;8.1;9.0;10.1;11.1;12.0;
NYN201809300,0,
