game_id,num_sb_events,innings
OAK201803290,0,
OAK201803300,0,
OAK201803310,1,5.0;
OAK201804010,0,
OAK201804020,2,2.0;5.0;
OAK201804030,4,2.0;2.1;9.0;
OAK201804040,1,8.1;
OAK201804050,2,2.0;6.0;
OAK201804160,1,1.0;
OAK201804170,3,1.0;2.0;2.1;
OAK201804180,6,1.0;4.0;6.0;9.0;14.1;
OAK201804200,1,1.0;
OAK201804210,1,1.1;
OAK201804220,1,8.0;
OAK201805040,0,
OAK201805050,3,3.0;4.0;12.0;
OAK201805060,2,1.1;4.1;
OAK201805070,0,
OAK201805080,2,3.0;5.1;
OAK201805090,3,1.1;8.0;
OAK201805220,0,
OAK201805230,3,3.0;7.0;8.1;
OAK201805240,2,2.0;4.1;
OAK201805250,1,6.0;
OAK201805260,0,
OAK201805270,1,3.1;
OAK201805280,2,4.1;10.0;
OAK201805290,1,9.0;
OAK201805300,1,6.0;
OAK201805310,0,
OAK201806070,0,
OAK201806080,0,
OAK201806090,0,
OAK201806100,0,
OAK201806120,0,
OAK201806130,0,
OAK201806140,0,
OAK201806150,0,
OAK201806160,1,5.0;
OAK201806170,2,1.0;6.0;
OAK201806290,3,1.0;7.1;
OAK201806300,0,
OAK201807010,0,
OAK201807030,2,1.0;
OAK201807040,0,
OAK201807200,0,
OAK201807210,4,2.1;6.0;7.1;10.0;
OAK201807220,2,7.0;9.1;
OAK201807300,0,
OAK201807310,1,3.1;
OAK201808010,0,
OAK201808030,3,9.0;10.0;13.0;
OAK201808040,2,7.0;7.1;
OAK201808050,1,7.1;
OAK201808070,1,2.0;
OAK201808080,2,6.0;
OAK201808130,2,1.0;3.1;
OAK201808140,1,8.0;
OAK201808150,0,
OAK201808170,2,3.0;10.0;
OAK201808180,1,2.0;
OAK201808190,0,
OAK201808200,1,1.0;
OAK201808210,1,6.1;
OAK201808220,0,
OAK201808300,0,
OAK201808310,1,4.0;
OAK201809010,1,5.0;
OAK201809020,1,7.1;
OAK201809030,2,1.0;5.0;
OAK201809040,1,8.0;
OAK201809050,0,
OAK201809070,1,1.0;
OAK201809080,0,
OAK201809090,3,1.0;3.0;
OAK201809180,2,1.1;9.0;
OAK201809190,1,4.1;
OAK201809200,0,
OAK201809210,1,3.0;
OAK201809220,2,4.0;8.0;
OAK201809230,1,8.0;
