game_id,num_sb_events,innings
PHI201804050,5,3.1;4.1;6.1;
PHI201804070,0,
PHI201804080,2,3.1;4.1;
PHI201804090,3,6.0;7.0;
PHI201804100,3,3.0;5.0;6.1;
PHI201804110,3,6.0;10.1;11.0;
PHI201804190,2,2.1;
PHI201804200,2,3.0;8.1;
PHI201804210,0,
PHI201804220,2,4.1;9.0;
PHI201804240,2,8.0;
PHI201804250,2,5.1;6.0;
PHI201804260,0,
PHI201804270,2,1.0;
PHI201804280,2,3.0;
PHI201804290,3,3.0;4.0;7.0;
PHI201805070,2,1.1;4.1;
PHI201805080,2,4.0;8.1;
PHI201805090,1,5.1;
PHI201805100,0,
PHI201805110,1,3.1;
PHI201805130,1,5.0;
PHI201805210,2,1.0;7.0;
PHI201805220,0,
PHI201805230,1,7.0;
PHI201805250,1,3.0;
PHI201805260,0,
PHI201805270,1,5.0;
PHI201806080,0,
PHI201806090,1,5.0;
PHI201806100,2,2.0;4.1;
PHI201806120,3,4.1;5.0;8.1;
PHI201806130,1,1.0;
PHI201806140,0,
PHI201806180,0,
PHI201806190,1,4.0;
PHI201806200,0,
PHI201806250,2,5.1;7.1;
PHI201806260,0,
PHI201806270,0,
PHI201806280,1,5.1;
PHI201806290,1,2.0;
PHI201806300,1,5.0;
PHI201807010,2,7.1;12.0;
PHI201807030,1,8.0;
PHI201807040,3,1.0;2.1;5.0;
PHI201807200,4,1.0;4.0;8.1;
PHI201807221,0,
PHI201807222,0,
PHI201807230,0,
PHI201807240,0,
PHI201807250,1,1.0;
PHI201808020,1,3.0;
PHI201808030,1,5.0;
PHI201808040,1,6.1;
PHI201808050,0,
PHI201808140,2,8.0;9.1;
PHI201808150,1,1.0;
PHI201808161,1,5.0;
PHI201808162,3,2.1;6.1;
PHI201808170,5,1.1;2.1;4.1;5.1;6.1;
PHI201808180,2,4.1;6.0;
PHI201808190,1,2.0;
PHI201808270,1,6.0;
PHI201808280,1,9.0;
PHI201808290,3,1.1;6.0;7.1;
PHI201808310,1,6.0;
PHI201809010,1,5.0;
PHI201809020,0,
PHI201809111,1,1.1;
PHI201809112,1,5.0;
PHI201809120,0,
PHI201809140,1,1.1;
PHI201809150,1,2.0;
PHI201809160,1,7.1;
PHI201809170,2,4.0;7.0;
PHI201809180,2,1.1;2.1;
PHI201809190,4,3.0;4.1;5.0;8.1;
PHI201809280,2,4.0;7.0;
PHI201809290,2,2.1;
PHI201809300,2,1.1;3.1;
