game_id,num_sb_events,innings
PIT201804020,0,
PIT201804040,2,4.1;9.0;
PIT201804050,0,
PIT201804060,2,1.1;6.1;
PIT201804070,2,8.0;9.1;
PIT201804080,0,
PIT201804160,3,1.1;7.0;9.0;
PIT201804170,2,4.0;9.0;
PIT201804180,0,
PIT201804251,0,
PIT201804252,2,2.0;3.0;
PIT201804260,2,4.0;6.1;
PIT201804270,1,6.0;
PIT201804280,0,
PIT201804290,0,
PIT201805110,2,3.0;3.1;
PIT201805120,4,1.1;4.1;6.0;7.1;
PIT201805130,0,
PIT201805150,0,
PIT201805160,0,
PIT201805170,1,4.0;
PIT201805180,4,4.0;4.1;7.1;8.0;
PIT201805190,3,2.0;9.0;
PIT201805200,1,9.0;
PIT201805250,1,7.1;
PIT201805260,1,6.0;
PIT201805270,1,4.1;
PIT201805280,1,3.0;
PIT201805290,1,2.0;
PIT201805300,0,
PIT201806050,2,2.1;7.0;
PIT201806060,2,2.1;7.1;
PIT201806070,2,3.0;6.1;
PIT201806150,2,4.1;9.0;
PIT201806160,0,
PIT201806170,3,5.0;8.0;9.0;
PIT201806180,3,4.0;5.1;7.1;
PIT201806190,2,5.0;7.0;
PIT201806210,0,
PIT201806220,2,1.1;10.0;
PIT201806230,1,1.1;
PIT201806240,0,
PIT201807060,4,4.1;5.1;6.1;
PIT201807070,0,
PIT201807080,4,3.1;4.1;5.1;8.1;
PIT201807090,2,1.1;4.1;
PIT201807100,0,
PIT201807110,1,5.1;
PIT201807120,2,4.1;5.0;
PIT201807130,2,1.1;9.0;
PIT201807141,3,2.1;7.0;8.0;
PIT201807142,1,7.0;
PIT201807150,2,8.1;9.0;
PIT201807260,1,6.0;
PIT201807270,0,
PIT201807280,3,6.1;7.0;8.1;
PIT201807290,3,1.1;6.1;8.1;
PIT201807310,0,
PIT201808010,2,1.0;3.1;
PIT201808030,0,
PIT201808040,1,1.0;
PIT201808050,1,8.0;
PIT201808160,1,6.1;
PIT201808170,2,4.1;8.0;
PIT201808180,0,
PIT201808190,2,1.0;2.1;
PIT201808200,3,4.1;5.0;9.0;
PIT201808210,0,
PIT201808220,1,8.0;
PIT201809030,0,
PIT201809040,1,3.1;
PIT201809050,2,2.1;6.0;
PIT201809070,1,5.1;
PIT201809080,0,
PIT201809170,0,
PIT201809180,2,1.1;8.1;
PIT201809190,4,1.0;3.1;5.0;6.1;
PIT201809210,1,5.1;
PIT201809220,3,1.1;2.0;8.1;
PIT201809230,2,3.0;7.0;
