game_id,num_sb_events,innings
SDN201803290,4,8.0;9.1;10.0;
SDN201803300,1,1.0;
SDN201803310,3,4.0;8.0;9.0;
SDN201804020,1,2.0;
SDN201804030,1,7.1;
SDN201804040,0,
SDN201804050,3,1.0;7.1;8.0;
SDN201804120,0,
SDN201804130,0,
SDN201804140,1,1.0;
SDN201804150,3,2.1;6.1;
SDN201804160,0,
SDN201804170,2,6.0;9.1;
SDN201804180,0,
SDN201804270,1,2.1;
SDN201804280,1,3.1;
SDN201804290,4,2.0;3.0;4.1;
SDN201805040,0,
SDN201805050,1,3.0;
SDN201805060,0,
SDN201805070,3,1.1;4.1;5.1;
SDN201805080,0,
SDN201805090,5,4.0;4.1;5.0;7.1;8.1;
SDN201805100,3,4.0;6.0;6.1;
SDN201805110,1,1.0;
SDN201805120,1,4.1;
SDN201805130,2,3.0;4.1;
SDN201805140,2,5.1;7.0;
SDN201805150,2,3.1;5.1;
SDN201805280,3,1.0;6.0;
SDN201805290,0,
SDN201805300,0,
SDN201805310,0,
SDN201806010,1,3.0;
SDN201806020,3,1.1;5.1;7.1;
SDN201806030,3,1.1;5.0;6.1;
SDN201806040,0,
SDN201806050,1,4.0;
SDN201806060,1,6.1;
SDN201806190,2,7.1;10.0;
SDN201806200,1,3.1;
SDN201806290,2,2.1;3.0;
SDN201806300,0,
SDN201807010,3,1.1;4.0;4.1;
SDN201807090,1,4.0;
SDN201807100,0,
SDN201807110,0,
SDN201807120,2,3.0;4.1;
SDN201807130,2,3.0;10.0;
SDN201807140,2,1.0;1.1;
SDN201807150,1,4.0;
SDN201807270,0,
SDN201807280,0,
SDN201807290,2,4.0;8.0;
SDN201807300,3,4.0;6.0;6.1;
SDN201807310,2,8.1;9.0;
SDN201808100,2,2.1;7.1;
SDN201808110,1,2.1;
SDN201808120,6,1.1;3.1;7.1;8.1;
SDN201808130,1,10.0;
SDN201808140,4,3.1;7.0;9.0;
SDN201808150,2,1.1;8.1;
SDN201808160,0,
SDN201808170,1,3.1;
SDN201808180,0,
SDN201808190,2,1.1;6.1;
SDN201808280,0,
SDN201808290,1,1.0;
SDN201808300,3,9.1;10.0;12.1;
SDN201808310,1,2.0;
SDN201809010,1,5.0;
SDN201809020,2,7.0;
SDN201809140,2,1.0;6.0;
SDN201809150,0,
SDN201809160,0,
SDN201809170,3,1.1;5.0;8.0;
SDN201809180,2,4.0;
SDN201809190,0,
SDN201809280,5,7.1;10.0;11.0;13.1;14.1;
SDN201809290,1,6.0;
SDN201809300,4,1.1;2.0;8.1;9.0;
