game_id,num_sb_events,innings
SEA201803290,2,9.0;
SEA201803310,0,
SEA201804010,1,1.0;
SEA201804130,1,8.1;
SEA201804140,2,5.1;7.1;
SEA201804150,0,
SEA201804160,1,9.0;
SEA201804170,0,
SEA201804180,3,1.1;2.1;4.1;
SEA201804190,1,2.0;
SEA201805010,3,5.0;6.1;8.1;
SEA201805020,0,
SEA201805030,3,1.1;3.0;7.1;
SEA201805040,1,6.0;
SEA201805050,3,5.1;10.0;10.1;
SEA201805060,1,1.0;
SEA201805150,5,1.1;4.1;6.0;8.1;
SEA201805160,1,9.0;
SEA201805170,1,3.1;
SEA201805180,4,1.0;2.0;6.0;9.0;
SEA201805190,1,5.0;
SEA201805200,3,1.1;5.0;11.1;
SEA201805250,1,1.1;
SEA201805260,2,5.1;12.0;
SEA201805270,2,5.1;8.1;
SEA201805280,3,5.0;8.1;
SEA201805290,0,
SEA201805300,1,3.0;
SEA201805310,0,
SEA201806010,3,1.0;9.0;12.0;
SEA201806020,3,1.1;6.1;
SEA201806030,1,4.1;
SEA201806110,0,
SEA201806120,2,7.0;8.1;
SEA201806130,1,5.1;
SEA201806140,3,2.0;3.1;5.1;
SEA201806150,3,2.1;3.0;9.0;
SEA201806160,1,5.1;
SEA201806170,1,7.0;
SEA201806290,0,
SEA201806300,0,
SEA201807010,0,
SEA201807030,1,7.1;
SEA201807040,2,3.1;5.0;
SEA201807050,0,
SEA201807060,3,1.1;3.0;8.0;
SEA201807070,1,4.0;
SEA201807080,0,
SEA201807200,3,1.1;3.1;6.1;
SEA201807210,1,4.1;
SEA201807220,1,1.1;
SEA201807240,1,6.0;
SEA201807250,1,1.1;
SEA201807300,1,5.1;
SEA201807310,1,5.0;
SEA201808010,0,
SEA201808020,1,1.1;
SEA201808030,1,9.0;
SEA201808040,2,8.0;
SEA201808050,1,7.1;
SEA201808170,0,
SEA201808180,2,3.1;10.0;
SEA201808190,5,1.0;3.0;5.0;
SEA201808200,0,
SEA201808210,2,4.1;7.1;
SEA201808220,1,8.0;
SEA201809030,0,
SEA201809040,0,
SEA201809050,2,3.0;7.1;
SEA201809070,0,
SEA201809080,3,5.0;5.1;9.0;
SEA201809090,2,5.1;8.1;
SEA201809110,1,2.0;
SEA201809120,3,4.0;8.0;9.1;
SEA201809240,1,3.1;
SEA201809250,0,
SEA201809260,0,
SEA201809270,0,
SEA201809280,1,7.0;
SEA201809290,0,
SEA201809300,2,2.1;5.1;
