game_id,num_sb_events,innings
SFN201804030,2,6.0;8.0;
SFN201804040,0,
SFN201804070,3,1.1;4.1;12.1;
SFN201804080,3,7.0;8.0;10.1;
SFN201804090,1,7.0;
SFN201804100,4,1.0;1.1;6.1;8.1;
SFN201804110,1,7.0;
SFN201804230,2,7.0;
SFN201804240,0,
SFN201804250,2,4.0;
SFN201804270,3,2.0;6.0;7.0;
SFN201804281,3,1.1;5.0;7.1;
SFN201804282,0,
SFN201804290,2,7.0;7.1;
SFN201804300,4,1.1;4.1;7.0;8.0;
SFN201805010,1,5.1;
SFN201805020,0,
SFN201805140,3,6.0;6.1;7.1;
SFN201805150,1,4.0;
SFN201805160,0,
SFN201805170,2,1.1;9.1;
SFN201805180,1,9.0;
SFN201805190,1,4.0;
SFN201805200,3,7.0;7.1;
SFN201806010,0,
SFN201806020,0,
SFN201806030,1,5.1;
SFN201806040,0,
SFN201806050,0,
SFN201806060,2,6.0;10.0;
SFN201806180,1,1.1;
SFN201806190,0,
SFN201806200,1,6.1;
SFN201806210,1,8.1;
SFN201806220,1,7.1;
SFN201806230,2,5.0;6.1;
SFN201806240,0,
SFN201806260,1,8.1;
SFN201806270,0,
SFN201806280,4,4.0;8.0;8.1;
SFN201807050,0,
SFN201807060,0,
SFN201807070,2,1.1;3.0;
SFN201807080,2,5.0;6.0;
SFN201807090,1,1.0;
SFN201807100,2,2.0;7.0;
SFN201807110,1,5.1;
SFN201807130,2,1.0;4.1;
SFN201807140,3,2.1;7.0;7.1;
SFN201807150,1,2.1;
SFN201807260,1,3.0;
SFN201807270,1,7.0;
SFN201807280,3,1.1;6.0;8.0;
SFN201807290,0,
SFN201808060,0,
SFN201808070,3,1.0;2.0;6.0;
SFN201808090,1,3.0;
SFN201808100,1,1.1;
SFN201808110,1,2.1;
SFN201808120,1,6.1;
SFN201808240,3,1.1;2.1;4.1;
SFN201808250,3,1.0;6.1;8.1;
SFN201808260,0,
SFN201808270,1,6.1;
SFN201808280,1,8.1;
SFN201808290,0,
SFN201808310,0,
SFN201809010,2,6.0;10.1;
SFN201809020,3,7.1;8.0;
SFN201809100,1,3.1;
SFN201809110,0,
SFN201809120,0,
SFN201809140,2,2.1;4.1;
SFN201809150,1,6.0;
SFN201809160,4,1.1;6.0;8.0;8.1;
SFN201809240,0,
SFN201809250,2,7.1;11.0;
SFN201809260,3,5.1;8.0;8.1;
SFN201809280,1,8.0;
SFN201809290,3,2.1;5.0;6.0;
SFN201809300,0,
