game_id,num_sb_events,innings
SLN201804050,0,
SLN201804070,0,
SLN201804080,1,7.0;
SLN201804090,0,
SLN201804100,1,9.1;
SLN201804110,1,1.1;
SLN201804200,1,3.1;
SLN201804210,1,1.1;
SLN201804220,1,5.1;
SLN201804240,0,
SLN201804250,0,
SLN201804260,1,4.1;
SLN201805010,4,4.0;6.1;7.1;
SLN201805020,3,2.1;6.1;8.0;
SLN201805040,0,
SLN201805050,2,1.1;4.1;
SLN201805060,1,1.1;
SLN201805070,0,
SLN201805080,2,2.1;6.0;
SLN201805170,1,9.0;
SLN201805180,0,
SLN201805190,2,3.0;4.1;
SLN201805200,1,6.1;
SLN201805210,0,
SLN201805220,3,1.1;4.1;6.1;
SLN201805230,1,10.0;
SLN201805310,1,4.1;
SLN201806010,0,
SLN201806020,0,
SLN201806030,1,6.1;
SLN201806050,1,8.0;
SLN201806060,0,
SLN201806070,1,4.1;
SLN201806110,1,6.1;
SLN201806120,0,
SLN201806130,1,1.0;
SLN201806150,1,1.0;
SLN201806160,1,3.1;
SLN201806170,1,6.0;
SLN201806250,1,8.1;
SLN201806260,0,
SLN201806270,1,9.0;
SLN201806290,0,
SLN201806300,0,
SLN201807010,1,3.1;
SLN201807130,0,
SLN201807140,1,6.0;
SLN201807150,0,
SLN201807270,1,6.1;
SLN201807280,0,
SLN201807290,0,
SLN201807300,2,9.0;9.1;
SLN201807310,0,
SLN201808010,3,6.1;8.1;
SLN201808020,3,8.0;8.1;9.1;
SLN201808130,0,
SLN201808140,0,
SLN201808150,1,6.1;
SLN201808160,0,
SLN201808170,2,1.0;8.1;
SLN201808180,1,6.1;
SLN201808190,2,3.0;
SLN201808280,0,
SLN201808290,0,
SLN201808300,0,
SLN201808310,0,
SLN201809010,1,1.1;
SLN201809020,2,2.1;4.1;
SLN201809100,0,
SLN201809110,0,
SLN201809120,3,1.1;5.1;9.1;
SLN201809130,1,6.0;
SLN201809140,0,
SLN201809150,0,
SLN201809160,1,3.0;
SLN201809210,1,5.0;
SLN201809220,1,10.0;
SLN201809230,0,
SLN201809240,0,
SLN201809250,0,
SLN201809260,1,9.0;
