game_id,num_sb_events,innings
TBA201803290,0,
TBA201803300,0,
TBA201803310,3,4.0;8.1;9.0;
TBA201804010,2,1.0;2.0;
TBA201804130,1,8.1;
TBA201804140,0,
TBA201804150,2,5.0;6.1;
TBA201804160,1,1.1;
TBA201804170,0,
TBA201804180,1,8.1;
TBA201804200,4,6.0;6.1;7.1;9.1;
TBA201804210,0,
TBA201804220,0,
TBA201805040,1,4.1;
TBA201805050,3,2.1;4.1;8.1;
TBA201805060,4,3.1;5.0;
TBA201805080,1,1.0;
TBA201805090,2,2.0;4.0;
TBA201805220,0,
TBA201805230,1,5.1;
TBA201805240,3,4.1;5.1;6.0;
TBA201805250,1,2.1;
TBA201805260,0,
TBA201805270,1,6.1;
TBA201806070,1,4.0;
TBA201806080,3,3.0;9.0;9.1;
TBA201806090,1,8.1;
TBA201806100,1,5.1;
TBA201806110,2,4.1;7.0;
TBA201806120,0,
TBA201806130,0,
TBA201806220,1,2.1;
TBA201806230,0,
TBA201806240,3,4.1;5.1;11.1;
TBA201806250,1,2.1;
TBA201806260,3,3.1;4.0;5.1;
TBA201806280,2,5.0;7.1;
TBA201806290,2,3.1;4.1;
TBA201806300,1,5.0;
TBA201807010,2,1.0;1.1;
TBA201807090,1,5.1;
TBA201807100,2,3.1;6.0;
TBA201807110,1,8.1;
TBA201807200,2,5.0;5.1;
TBA201807210,1,5.1;
TBA201807220,0,
TBA201807230,0,
TBA201807240,0,
TBA201807250,2,6.0;8.1;
TBA201807310,1,2.1;
TBA201808010,5,1.0;6.1;8.1;
TBA201808020,0,
TBA201808030,5,4.1;5.0;8.1;
TBA201808040,5,1.1;2.1;3.1;6.1;
TBA201808050,3,2.0;4.1;
TBA201808070,2,3.0;3.1;
TBA201808080,4,1.1;9.0;9.1;
TBA201808090,1,7.1;
TBA201808200,0,
TBA201808210,1,3.0;
TBA201808220,3,5.1;7.1;8.1;
TBA201808230,4,1.0;1.1;3.0;
TBA201808240,3,2.1;3.1;
TBA201808250,3,1.1;3.0;7.1;
TBA201808260,2,4.0;6.1;
TBA201809070,2,2.1;6.1;
TBA201809080,6,1.0;1.1;2.1;5.0;7.0;
TBA201809090,2,1.0;2.1;
TBA201809100,5,4.1;7.0;7.1;
TBA201809110,1,4.1;
TBA201809120,2,3.1;5.1;
TBA201809140,2,1.1;5.1;
TBA201809150,2,4.1;7.1;
TBA201809160,2,2.1;
TBA201809240,0,
TBA201809250,1,1.0;
TBA201809260,2,1.1;6.1;
TBA201809270,1,4.0;
TBA201809280,5,2.0;4.0;5.0;5.1;
TBA201809290,3,1.0;6.1;
TBA201809300,6,1.1;3.1;5.1;7.0;7.1;
