game_id,num_sb_events,innings
TEX201803290,0,
TEX201803300,0,
TEX201803310,0,
TEX201804010,2,4.0;6.0;
TEX201804060,0,
TEX201804070,0,
TEX201804080,0,
TEX201804090,1,5.1;
TEX201804100,0,
TEX201804110,4,5.0;6.0;9.0;9.1;
TEX201804200,4,2.0;7.0;9.0;
TEX201804210,2,1.0;6.1;
TEX201804220,0,
TEX201804230,4,2.1;3.1;5.1;
TEX201804240,1,2.0;
TEX201804250,1,5.1;
TEX201805030,0,
TEX201805040,0,
TEX201805050,0,
TEX201805060,2,3.1;5.1;
TEX201805070,0,
TEX201805080,1,7.0;
TEX201805090,1,3.1;
TEX201805210,3,1.1;4.1;8.0;
TEX201805220,1,7.1;
TEX201805230,3,1.1;8.1;
TEX201805240,1,4.1;
TEX201805250,1,3.1;
TEX201805260,1,6.1;
TEX201805270,3,1.0;1.1;7.0;
TEX201806050,1,6.1;
TEX201806060,3,7.1;
TEX201806070,2,6.0;7.1;
TEX201806080,1,9.0;
TEX201806090,2,7.0;8.1;
TEX201806100,3,3.1;4.0;9.0;
TEX201806150,1,2.0;
TEX201806160,1,6.1;
TEX201806170,3,4.1;5.1;9.1;
TEX201806250,2,5.0;7.1;
TEX201806260,1,2.1;
TEX201806270,1,7.1;
TEX201806290,0,
TEX201806300,1,7.1;
TEX201807010,2,2.1;6.1;
TEX201807030,2,8.0;8.1;
TEX201807040,2,2.1;10.0;
TEX201807200,6,2.0;5.1;6.0;6.1;8.0;10.0;
TEX201807210,1,1.1;
TEX201807220,4,1.1;3.1;5.1;8.1;
TEX201807230,0,
TEX201807240,0,
TEX201807250,5,2.0;2.1;4.1;5.1;7.1;
TEX201807260,0,
TEX201808020,0,
TEX201808030,0,
TEX201808040,1,4.1;
TEX201808050,2,3.0;4.1;
TEX201808060,2,3.1;12.0;
TEX201808070,0,
TEX201808080,1,7.0;
TEX201808130,1,1.0;
TEX201808140,1,5.0;
TEX201808160,1,3.1;
TEX201808170,2,1.0;5.0;
TEX201808180,2,1.1;6.1;
TEX201808190,2,1.0;1.1;
TEX201808280,0,
TEX201808290,2,7.0;9.1;
TEX201808310,1,5.1;
TEX201809010,0,
TEX201809020,0,
TEX201809030,0,
TEX201809040,3,1.0;2.0;6.0;
TEX201809050,1,7.0;
TEX201809170,2,1.1;6.0;
TEX201809180,1,9.0;
TEX201809190,1,7.0;
TEX201809210,0,
TEX201809220,0,
TEX201809230,1,5.0;
