game_id,num_sb_events,innings
TOR201803290,1,6.1;
TOR201803300,0,
TOR201803310,5,7.1;8.1;
TOR201804010,0,
TOR201804020,1,3.0;
TOR201804030,2,6.0;
TOR201804040,0,
TOR201804171,2,1.0;4.0;
TOR201804172,0,
TOR201804180,0,
TOR201804240,1,9.0;
TOR201804250,3,5.1;7.0;
TOR201804260,1,9.0;
TOR201804270,1,8.0;
TOR201804280,2,4.0;
TOR201804290,1,3.0;
TOR201805080,1,6.0;
TOR201805090,2,2.0;8.0;
TOR201805100,1,4.0;
TOR201805110,3,1.0;10.0;11.1;
TOR201805120,2,7.0;8.1;
TOR201805130,5,3.0;5.0;8.0;9.0;
TOR201805170,1,4.0;
TOR201805180,2,6.1;9.0;
TOR201805190,2,2.1;8.0;
TOR201805200,2,1.0;3.0;
TOR201805220,0,
TOR201805230,3,7.0;9.0;
TOR201805240,2,1.0;7.0;
TOR201806050,3,5.0;6.0;8.0;
TOR201806060,2,9.0;11.1;
TOR201806070,1,4.1;
TOR201806080,2,3.0;3.1;
TOR201806090,2,2.1;9.0;
TOR201806100,1,1.0;
TOR201806150,3,1.0;5.0;9.0;
TOR201806160,0,
TOR201806170,7,2.0;4.0;6.0;7.1;
TOR201806190,0,
TOR201806200,0,
TOR201806290,0,
TOR201806300,3,1.0;7.0;8.1;
TOR201807010,0,
TOR201807020,1,9.0;
TOR201807030,1,5.0;
TOR201807040,1,6.0;
TOR201807060,2,1.0;2.1;
TOR201807070,1,3.0;
TOR201807080,1,8.1;
TOR201807200,2,6.1;9.1;
TOR201807210,0,
TOR201807220,0,
TOR201807230,2,2.0;3.0;
TOR201807240,2,5.0;8.0;
TOR201807250,2,4.0;4.1;
TOR201808070,1,10.0;
TOR201808080,2,3.0;4.0;
TOR201808090,5,2.1;5.0;5.1;8.1;
TOR201808100,1,3.0;
TOR201808110,3,2.0;7.0;7.1;
TOR201808120,2,4.0;4.1;
TOR201808200,2,1.0;3.0;
TOR201808210,0,
TOR201808220,1,8.0;
TOR201808240,2,2.0;
TOR201808250,1,1.0;
TOR201808260,0,
TOR201809030,1,2.0;
TOR201809040,2,1.0;1.1;
TOR201809050,0,
TOR201809060,1,4.0;
TOR201809070,6,3.0;3.1;5.0;7.0;9.0;9.1;
TOR201809080,0,
TOR201809090,2,1.0;3.1;
TOR201809200,4,4.0;5.0;7.0;
TOR201809210,1,6.0;
TOR201809220,1,7.0;
TOR201809230,3,4.0;5.1;
TOR201809240,0,
TOR201809250,0,
TOR201809260,3,1.1;4.0;7.0;
