game_id,num_sb_events,innings
WAS201804050,0,
WAS201804070,6,1.1;2.1;5.1;8.0;8.1;
WAS201804080,4,5.1;6.1;8.0;8.1;
WAS201804090,1,7.1;
WAS201804100,2,1.0;8.1;
WAS201804110,3,10.0;
WAS201804120,0,
WAS201804130,2,6.0;9.0;
WAS201804140,2,3.1;6.1;
WAS201804150,2,8.1;
WAS201804270,2,2.0;7.0;
WAS201804280,1,3.1;
WAS201804290,1,7.1;
WAS201804300,1,3.0;
WAS201805010,2,3.1;6.1;
WAS201805020,4,1.0;1.1;3.0;4.1;
WAS201805030,0,
WAS201805040,0,
WAS201805050,0,
WAS201805060,3,2.1;7.0;
WAS201805150,0,
WAS201805191,1,7.1;
WAS201805192,1,6.0;
WAS201805200,1,7.0;
WAS201805210,0,
WAS201805220,1,8.0;
WAS201805230,3,1.0;3.0;8.0;
WAS201806050,0,
WAS201806060,2,6.1;
WAS201806080,2,1.1;5.0;
WAS201806090,0,
WAS201806100,3,5.1;7.0;7.1;
WAS201806180,2,3.0;5.0;
WAS201806190,2,6.0;6.1;
WAS201806200,1,9.0;
WAS201806210,0,
WAS201806220,1,2.1;
WAS201806230,4,2.1;5.1;7.0;8.0;
WAS201806240,6,1.0;1.1;4.0;5.0;6.0;8.1;
WAS201807020,1,8.0;
WAS201807030,1,2.1;
WAS201807040,0,
WAS201807050,0,
WAS201807060,3,1.0;3.1;6.1;
WAS201807070,0,
WAS201807080,3,1.0;7.0;
WAS201807200,5,1.0;1.1;3.0;4.0;
WAS201807220,4,4.0;5.0;6.1;7.0;
WAS201807310,3,1.0;1.1;
WAS201808010,4,1.1;3.1;7.1;
WAS201808020,2,2.1;6.1;
WAS201808041,2,1.0;6.0;
WAS201808042,0,
WAS201808050,0,
WAS201808071,1,6.1;
WAS201808072,0,
WAS201808080,1,3.0;
WAS201808090,1,7.1;
WAS201808170,1,4.0;
WAS201808180,1,4.0;
WAS201808190,1,2.0;
WAS201808210,2,6.1;8.1;
WAS201808220,1,4.1;
WAS201808230,1,8.0;
WAS201808310,2,1.1;5.0;
WAS201809010,2,5.0;8.1;
WAS201809020,0,
WAS201809030,3,2.0;3.1;8.0;
WAS201809040,0,
WAS201809050,1,8.0;
WAS201809060,2,7.1;8.0;
WAS201809081,2,1.1;
WAS201809082,2,7.0;
WAS201809130,3,3.0;7.1;
WAS201809200,3,7.1;10.1;11.1;
WAS201809210,0,
WAS201809220,2,4.1;7.1;
WAS201809230,2,1.0;3.1;
WAS201809240,2,4.0;8.1;
WAS201809250,1,1.1;
WAS201809260,1,1.1;
