id,ANA201807230
info,visteam,CHA
info,hometeam,ANA
info,date,2018/07/23
info,starttime,7:08PM
start,moncy001,"""Yoan Moncada""",0,1,4
start,sancc001,"""Yolmer Sanchez""",0,2,5
start,abrej003,"""Jose Abreu""",0,3,3
start,palkd001,"""Daniel Palka""",0,4,7
start,davim005,"""Matt Davidson""",0,5,10
start,garcl004,"""Leury Garcia""",0,6,9
start,andet001,"""Tim Anderson""",0,7,6
start,smitk002,"""Kevan Smith""",0,8,2
start,engea001,"""Adam Engel""",0,9,8
start,gioll001,"""Lucas Giolito""",0,0,1
start,calhk001,"""Kole Calhoun""",1,1,9
start,simma001,"""Andrelton Simmons""",1,2,6
start,troum001,"""Mike Trout""",1,3,8
start,uptoj001,"""Justin Upton""",1,4,7
start,pujoa001,"""Albert Pujols""",1,5,3
start,ohtas001,"""Shohei Ohtani""",1,6,10
start,kinsi001,"""Ian Kinsler""",1,7,4
start,maldm001,"""Martin Maldonado""",1,8,2
start,fletd002,"""David Fletcher""",1,9,5
start,barrj003,"""Jaime Barria""",1,0,1
play,5,1,fletd002,22,CCBBFFX,D9/L
play,5,1,calhk001,01,FX,5/P5F
play,5,1,simma001,11,CB2,PO2(E1).2-3
play,5,1,simma001,11,CB2.X,3/P
play,5,1,troum001,30,VVVV,IW
play,5,1,uptoj001,22,BBF>F>B,SB2
play,5,1,uptoj001,32,BBF>F>B.F,NP
play,5,1,uptoj001,32,BBF>F>B.F*B,W
play,5,1,pujoa001,01,CX,5(2)/FO/G.1-2
play,6,0,moncy001,32,BCCB,NP
play,6,0,moncy001,32,BCCBBB,W
play,6,0,sancc001,31,BB,NP
play,6,0,sancc001,31,BBBCB,W.1-2
play,6,0,abrej003,00,,NP
sub,roblh001,"""Hansel Robles""",1,0,1
play,6,0,abrej003,20,.BBX,S7/G.2-H;1-2
play,6,0,palkd001,22,BBFFS,K
play,6,0,davim005,12,BCSF>B,SB3
play,6,0,davim005,32,BCSF>B.*BB,W.1-2
play,6,0,garcl004,22,FBC*BX,7/F/SF.3-H
play,6,0,andet001,01,SX,S6/G-.2-3;1-2
play,6,0,smitk002,22,CBBCFH,HP.3-H;2-3;1-2
play,6,0,engea001,00,,NP
sub,alvaj003,"""Jose Alvarez""",1,0,1
play,6,0,engea001,11,.SBX,3/P
play,6,1,ohtas001,01,CX,7/F
play,6,1,kinsi001,32,CBBSBB,W
play,6,1,maldm001,01,C>B,SB2
play,6,1,maldm001,12,C>B.FS,K
play,6,1,fletd002,32,BB+2CSF*BX,3/G
play,7,0,moncy001,21,FBBX,S7/G
play,7,0,sancc001,12,BFSFF1S,K
play,7,0,abrej003,00,,NP
sub,andej005,"""Justin Anderson""",1,0,1
play,7,0,abrej003,00,.1>B,SB2
play,7,0,abrej003,32,.1>B.*BCC*BX,13/G-
play,7,0,palkd001,00,X,43/G
play,7,1,calhk001,00,,NP
sub,cedex001,"""Xavier Cedeno""",0,0,1
play,7,1,calhk001,02,.CSS,K
play,7,1,simma001,00,X,7/L
play,7,1,troum001,31,BBBCB,W
play,7,1,uptoj001,00,,NP
sub,minaj001,"""Juan Minaya""",0,0,1
play,7,1,uptoj001,01,.C>B,SB2
play,7,1,uptoj001,32,.C>B.BFBC,K
sub,garca003,"""Avisail Garcia""",0,4,9
sub,garcl004,"""Leury Garcia""",0,6,7
sub,fry-j001,"""Jace Fry""",0,0,1
sub,gomej002,"""Jeanmar Gomez""",0,0,1
sub,valbl001,"""Luis Valbuena""",1,8,11
sub,avill001,"""Luis Avilan""",0,0,1
sub,martj007,"""Jefry Marte""",1,8,11
play,9,0,engea001,00,,NP
sub,bricj001,"""Jose Briceno""",1,8,2
play,9,0,engea001,00,,NP
sub,parkb001,"""Blake Parker""",1,0,1
play,9,0,engea001,22,..FBBFX,S8/L
play,9,0,moncy001,12,11B1CCX,9/F
play,9,0,sancc001,11,11SB>C,SB2
play,9,0,sancc001,12,11SB>C.S,K23
play,9,0,abrej003,22,BBSSS,K
sub,sorij001,"""Joakim Soria""",0,0,1
