id,ANA201808270
info,visteam,COL
info,hometeam,ANA
info,date,2018/08/27
info,starttime,7:09PM
start,blacc001,"""Charlie Blackmon""",0,1,8
start,lemad001,"""DJ LeMahieu""",0,2,4
start,gonzc001,"""Carlos Gonzalez""",0,3,9
start,arenn001,"""Nolan Arenado""",0,4,5
start,stort001,"""Trevor Story""",0,5,6
start,hollm001,"""Matt Holliday""",0,6,10
start,desmi001,"""Ian Desmond""",0,7,3
start,dahld001,"""David Dahl""",0,8,7
start,woltt001,"""Tony Wolters""",0,9,2
start,grayj003,"""Jon Gray""",0,0,1
start,calhk001,"""Kole Calhoun""",1,1,9
start,fletd002,"""David Fletcher""",1,2,4
start,troum001,"""Mike Trout""",1,3,8
start,ohtas001,"""Shohei Ohtani""",1,4,10
start,pujoa001,"""Albert Pujols""",1,5,3
start,simma001,"""Andrelton Simmons""",1,6,6
start,arcif001,"""Francisco Arcia""",1,7,2
start,wardt002,"""Taylor Ward""",1,8,5
start,youne003,"""Eric Young""",1,9,7
start,despo001,"""Odrisamer Despaigne""",1,0,1
play,2,0,stort001,32,FFBBFBB,W
play,2,0,hollm001,02,1CCS,K
play,2,0,desmi001,00,X,8/F
play,2,0,dahld001,00,11>B,SB2
play,2,0,dahld001,32,11>B.FB2C*BFFFX,6/L
play,4,1,calhk001,02,CFX,S9/L
play,4,1,fletd002,00,*B,SB2
play,4,1,fletd002,10,*B.X,S3/BG.2-3
play,4,1,troum001,00,X,S7/L+.3-H;1-2
play,4,1,ohtas001,00,N,BK.2-3;1-2
play,4,1,ohtas001,01,N.CX,HR/8/F.3-H;2-H
play,4,1,pujoa001,31,BBFBX,7/F
play,4,1,simma001,22,STBBX,5/P7LF
play,4,1,arcif001,00,X,63/G
play,5,0,gonzc001,11,FBX,S7/L
play,5,0,arenn001,00,,NP
sub,buttt001,"""Ty Buttrey""",1,0,1
play,5,0,arenn001,01,.S1X,5/P
play,5,0,stort001,32,FBBFB>S,K+SB2
play,5,0,hollm001,02,SSS,K
sub,alvaj003,"""Jose Alvarez""",1,0,1
sub,andej005,"""Justin Anderson""",1,0,1
sub,mcgej001,"""Jake McGee""",0,0,1
sub,cowak001,"""Kaleb Cowart""",1,8,5
sub,jerew001,"""Williams Jerez""",1,0,1
sub,iannc001,"""Chris Iannetta""",0,9,11
sub,johnj010,"""Jim Johnson""",1,0,1
play,8,1,troum001,00,,NP
sub,iannc001,"""Chris Iannetta""",0,9,2
play,8,1,troum001,00,,NP
sub,ottaa001,"""Adam Ottavino""",0,0,1
play,8,1,troum001,31,..BCBBB,W
play,8,1,ohtas001,12,BCCFX,S7/L.1-2
play,8,1,pujoa001,32,CBBBF>B,W.2-3;1-2
play,8,1,simma001,00,,NP
sub,martj007,"""Jefry Marte""",1,5,12
play,8,1,simma001,11,.*BFX,9/F9LF/SF.3-H;2-3
play,8,1,arcif001,12,BC>FC,K
play,8,1,cowak001,20,BB>B,SB2
play,8,1,cowak001,31,BB>B.CB,W
play,8,1,youne003,00,,NP
sub,oh--s001,"""Seung Hwan Oh""",0,0,1
play,8,1,youne003,32,.*BSF*BFFB>X,S8/L.3-H;2-H;1-3
play,8,1,calhk001,30,1B1BBB,W.1-2
play,8,1,fletd002,01,CX,E6/TH/G.3-H(NR)(UR);2-H(NR)(UR);1-3
play,8,1,troum001,32,BC*BBT>F>B,W.1-2
play,8,1,ohtas001,02,FCFFC,K
sub,martj007,"""Jefry Marte""",1,5,3
sub,ramin002,"""Noe Ramirez""",1,0,1
