id,ARI201804210
info,visteam,SDN
info,hometeam,ARI
info,date,2018/04/21
info,starttime,5:10PM
start,margm001,"""Manuel Margot""",0,1,8
start,pirej001,"""Jose Pirela""",0,2,7
start,hosme001,"""Eric Hosmer""",0,3,3
start,villc002,"""Christian Villanueva""",0,4,5
start,cordf003,"""Franchy Cordero""",0,5,9
start,galvf001,"""Freddy Galvis""",0,6,6
start,asuac001,"""Carlos Asuaje""",0,7,4
start,hedga001,"""Austin Hedges""",0,8,2
start,richc002,"""Clayton Richard""",0,9,1
start,perad001,"""David Peralta""",1,1,7
start,martk001,"""Ketel Marte""",1,2,4
start,goldp001,"""Paul Goldschmidt""",1,3,3
start,polla001,"""A.J. Pollock""",1,4,8
start,owinc001,"""Chris Owings""",1,5,9
start,ahmen001,"""Nick Ahmed""",1,6,6
start,marrd001,"""Deven Marrero""",1,7,5
start,murpj001,"""John Ryan Murphy""",1,8,2
start,godlz001,"""Zack Godley""",1,9,1
play,3,0,pirej001,22,CCBBS,K
play,3,0,hosme001,32,CSBBBS,K
play,3,0,villc002,22,BSBSX,S7/L
play,3,0,cordf003,12,FF*B*B,SB2
play,3,0,cordf003,32,FF*B*B.BB,W
play,3,0,galvf001,22,BBCCX,63/G
play,4,0,asuac001,20,BBX,S5/G
play,4,0,hedga001,10,BX,4/P
play,4,0,richc002,02,OCC,K
play,4,0,margm001,12,CBF*B,CS2(24)
play,6,0,villc002,12,CSBX,5/L
play,6,0,cordf003,00,,NP
sub,chafa001,"""Andrew Chafin""",1,9,1
play,6,0,cordf003,32,.BCBFBX,S7/L
play,6,0,galvf001,12,B1FS1,POCS2(136)
play,6,0,galvf001,12,B1FS1.S,K
play,6,1,owinc001,30,BBBB,W
play,6,1,ahmen001,00,,NP
sub,cimba001,"""Adam Cimber""",0,9,1
play,6,1,ahmen001,02,.C11C>X,3/P3F
play,6,1,marrd001,10,B>B,CS2(24)
play,6,1,marrd001,32,B>B.CBCX,S9/L
play,6,1,murpj001,32,1BCB1CB>X,S9/L.1-3
play,6,1,chafa001,00,,NP
sub,descd001,"""Daniel Descalso""",1,9,11
play,6,1,descd001,01,.CX,S8/G+.3-H;1-2
play,6,1,perad001,02,FFS,K
sub,salaf001,"""Fernando Salas""",1,9,1
sub,headc001,"""Chase Headley""",0,9,11
play,7,1,martk001,00,,NP
sub,lylej001,"""Jordan Lyles""",0,9,1
play,7,1,martk001,32,.BBCBFB,W
play,7,1,goldp001,12,C*BCX,T9/F+.1-H
play,7,1,polla001,12,CBFX,S8/L.3-H
play,7,1,owinc001,12,1F*BC11F1S,K
play,7,1,ahmen001,22,B1CF*B*B,CS2(24)
play,7,1,ahmen001,32,B1CF*B*B.*B,W
play,7,1,marrd001,01,CX,53/G
sub,mcfat001,"""T.J. McFarland""",1,9,1
sub,yatek001,"""Kirby Yates""",0,9,1
