id,ARI201809080
info,visteam,ATL
info,hometeam,ARI
info,date,2018/09/08
info,starttime,5:10PM
start,acunr001,"""Ronald Acuna""",0,1,7
start,camaj001,"""Johan Camargo""",0,2,5
start,freef001,"""Freddie Freeman""",0,3,3
start,markn001,"""Nick Markakis""",0,4,9
start,suzuk001,"""Kurt Suzuki""",0,5,2
start,incie001,"""Ender Inciarte""",0,6,8
start,albio001,"""Ozzie Albies""",0,7,4
start,swand001,"""Dansby Swanson""",0,8,6
start,tehej001,"""Julio Teheran""",0,9,1
start,polla001,"""A.J. Pollock""",1,1,8
start,escoe001,"""Eduardo Escobar""",1,2,5
start,perad001,"""David Peralta""",1,3,7
start,goldp001,"""Paul Goldschmidt""",1,4,3
start,descd001,"""Daniel Descalso""",1,5,4
start,souzs001,"""Steven Souza""",1,6,9
start,martk001,"""Ketel Marte""",1,7,6
start,mathj001,"""Jeff Mathis""",1,8,2
start,buchc001,"""Clay Buchholz""",1,9,1
play,6,1,perad001,32,BCFBBB,W
play,6,1,goldp001,00,>C,SB2
play,6,1,goldp001,21,>C.B*BX,9/L
play,6,1,descd001,10,BX,7/F
play,6,1,souzs001,12,CBFH,HP
play,6,1,martk001,32,C*BBFFB>S,K23
play,7,0,albio001,11,BFX,8/F
play,7,0,swand001,11,CBX,S7/G
play,7,0,tehej001,00,,NP
sub,tuckp001,"""Preston Tucker""",0,9,11
play,7,0,tuckp001,00,,NP
sub,mcfat001,"""T.J. McFarland""",1,9,1
play,7,0,tuckp001,00,,NP
sub,culbc001,"""Charlie Culberson""",0,9,11
play,7,0,culbc001,01,...S11>S,SB2
play,7,0,culbc001,12,...S11>S.BT,K
play,7,0,acunr001,30,VVVV,IW
play,7,0,camaj001,10,*BX,5(2)/FO/G.1-2
sub,bracb001,"""Brad Brach""",0,9,1
sub,jay-j001,"""Jon Jay""",1,9,11
play,8,0,freef001,00,,NP
sub,diekj001,"""Jake Diekman""",1,9,1
play,8,0,freef001,32,.SBBBFFFX,S5/P
play,8,0,markn001,11,CBX,54(1)3/GDP
play,8,0,suzuk001,10,BX,HR/78/F
play,8,0,incie001,00,X,S7/L
play,8,0,albio001,12,FTB>B,CS2(24)
sub,ventj001,"""Jonny Venters""",0,9,1
sub,winkd001,"""Daniel Winkler""",0,9,1
sub,vargi001,"""Ildemaro Vargas""",1,8,11
sub,carls002,"""Shane Carle""",0,9,1
play,9,0,albio001,00,,NP
sub,murpj001,"""John Ryan Murphy""",1,8,2
play,9,0,albio001,00,,NP
sub,hiray001,"""Yoshihisa Hirano""",1,9,1
play,9,0,albio001,22,..SBCBX,13/G-
play,9,0,swand001,10,BX,T7/L+
play,9,0,carls002,00,,NP
sub,dudal001,"""Lucas Duda""",0,9,11
play,9,0,dudal001,22,.BSBSFS,K
play,9,0,acunr001,30,VVVV,IW
play,9,0,camaj001,00,>B,SB2
play,9,0,camaj001,22,>B.BTFX,43/G
sub,biddj001,"""Jesse Biddle""",0,9,1
sub,walkc002,"""Christian Walker""",1,9,11
sub,soboc001,"""Chad Sobotka""",0,9,1
play,10,0,freef001,00,,NP
sub,chafa001,"""Andrew Chafin""",1,9,1
play,10,0,freef001,32,.BFSFBB*B,W
play,10,0,markn001,12,BC1SN1,SB2
play,10,0,markn001,12,BC1SN1.FX,S3/G-.2-H(E3/TH);B-2
play,10,0,suzuk001,20,BBX,9/F.2-3
play,10,0,incie001,01,SX,T9/G+.3-H
play,10,0,albio001,00,,NP
sub,andrm001,"""Matt Andriese""",1,9,1
play,10,0,albio001,22,.BFF*BFFX,FC4/G.3XH(42)
play,10,0,swand001,10,*B1X,53/G
sub,minta001,"""A.J. Minter""",0,9,1
sub,ahmen001,"""Nick Ahmed""",1,8,11
sub,owinc001,"""Chris Owings""",1,9,11
