id,ATL201809200
info,visteam,PHI
info,hometeam,ATL
info,date,2018/09/20
info,starttime,7:37PM
start,hernc005,"""Cesar Hernandez""",0,1,4
start,hoskr001,"""Rhys Hoskins""",0,2,3
start,cabra002,"""Asdrubal Cabrera""",0,3,6
start,santc002,"""Carlos Santana""",0,4,5
start,herro001,"""Odubel Herrera""",0,5,9
start,alfaj002,"""Jorge Alfaro""",0,6,2
start,altha001,"""Aaron Altherr""",0,7,7
start,velav001,"""Vincent Velasquez""",0,8,1
start,quinr003,"""Roman Quinn""",0,9,8
start,acunr001,"""Ronald Acuna""",1,1,7
start,incie001,"""Ender Inciarte""",1,2,8
start,freef001,"""Freddie Freeman""",1,3,3
start,markn001,"""Nick Markakis""",1,4,9
start,camaj001,"""Johan Camargo""",1,5,5
start,suzuk001,"""Kurt Suzuki""",1,6,2
start,albio001,"""Ozzie Albies""",1,7,4
start,swand001,"""Dansby Swanson""",1,8,6
start,gausk001,"""Kevin Gausman""",1,9,1
sub,crawj002,"""J.P. Crawford""",0,8,11
sub,ramoe002,"""Edubray Ramos""",0,8,1
play,5,1,acunr001,21,FBBX,7/F
play,5,1,incie001,00,,NP
sub,morga001,"""Adam Morgan""",0,8,1
play,5,1,incie001,32,.BBCBFB,W
play,5,1,freef001,32,1BFBBC>F>S,K+CS2(25)/DP
sub,aranv001,"""Victor Arano""",0,8,1
play,7,0,aranv001,00,,NP
sub,ramow001,"""Wilson Ramos""",0,8,11
play,7,0,ramow001,22,.CBBCS,K
play,7,0,quinr003,00,,NP
sub,biddj001,"""Jesse Biddle""",1,9,1
play,7,0,quinr003,12,.CBFFFX,3/G
play,7,0,hernc005,01,LX,S8/L
play,7,0,hoskr001,00,>C,CS2(24)
play,7,1,swand001,00,,NP
sub,huntt002,"""Tommy Hunter""",0,8,1
play,7,1,swand001,22,.BCBFX,D7/L
play,7,1,biddj001,00,,NP
sub,dudal001,"""Lucas Duda""",1,9,11
play,7,1,dudal001,22,.BFF*BX,D9/L+.2-H
play,7,1,acunr001,00,,NP
sub,adaml001,"""Lane Adams""",1,9,12
play,7,1,acunr001,32,.BBFC*BS,K
play,7,1,incie001,00,>B,SB3
play,7,1,incie001,30,>B.BBB,W
play,7,1,freef001,00,,NP
sub,avill001,"""Luis Avilan""",0,8,1
play,7,1,freef001,02,.1CFS,K
play,7,1,markn001,02,1CF1>F*B,SB2
play,7,1,markn001,12,1CF1>F*B.X,9/F
sub,vizca001,"""Arodys Vizcaino""",1,9,1
play,8,1,camaj001,00,,NP
sub,garcl005,"""Luis Garcia""",0,8,1
play,8,1,camaj001,00,.X,S7/G
play,8,1,suzuk001,00,X,S7/L.1-2
play,8,1,albio001,12,*BLLFB,WP.2-3;1-2
play,8,1,albio001,32,*BLLFB.*B*B,W
play,8,1,swand001,31,S*BBBB,W.3-H;2-3;1-2
play,8,1,vizca001,00,,NP
sub,tuckp001,"""Preston Tucker""",1,9,11
play,8,1,tuckp001,00,,NP
sub,davia003,"""Austin Davis""",0,8,1
play,8,1,tuckp001,00,,NP
sub,culbc001,"""Charlie Culberson""",1,9,11
play,8,1,culbc001,12,...FSF*BX,9/F/SF.3-H;2-3
play,8,1,acunr001,32,SFBBBX,8/F/SF.3-H
play,8,1,incie001,11,C*BN1,SB2
play,8,1,incie001,11,C*BN1.X,S49/G.2-H
play,8,1,freef001,12,F*BSB,WP.1-2
play,8,1,freef001,32,F*BSB.BFFS,K
sub,soboc001,"""Chad Sobotka""",1,9,1
sub,knapa001,"""Andrew Knapp""",0,6,11
