id,BAL201808112
info,visteam,BOS
info,hometeam,BAL
info,date,2018/08/11
info,starttime,7:25PM
start,bettm001,"""Mookie Betts""",0,1,9
start,holtb002,"""Brock Holt""",0,2,4
start,pears001,"""Steve Pearce""",0,3,3
start,martj006,"""J.D. Martinez""",0,4,7
start,bogax001,"""Xander Bogaerts""",0,5,6
start,dever001,"""Rafael Devers""",0,6,5
start,nunee002,"""Eduardo Nunez""",0,7,10
start,butld001,"""Dan Butler""",0,8,2
start,bradj001,"""Jackie Bradley""",0,9,8
start,velah001,"""Hector Velazquez""",0,0,1
start,petej002,"""Jace Peterson""",1,1,4
start,villj001,"""Jonathan Villar""",1,2,6
start,jonea003,"""Adam Jones""",1,3,9
start,manct001,"""Trey Mancini""",1,4,3
start,davic003,"""Chris Davis""",1,5,10
start,nuner001,"""Renato Nunez""",1,6,5
start,mullc002,"""Cedric Mullins""",1,7,8
start,rickj001,"""Joey Rickard""",1,8,7
start,josec002,"""Caleb Joseph""",1,9,2
start,ramiy001,"""Yefry Ramirez""",1,0,1
play,3,0,butld001,12,CBCS,K
play,3,0,bradj001,00,X,153/L+
play,3,0,bettm001,22,FBFFBX,S8/L
play,3,0,holtb002,11,1CB11>B,SB2
play,3,0,holtb002,32,1CB11>B.CBS,K
sub,workb001,"""Brandon Workman""",0,0,1
play,4,1,rickj001,00,,NP
sub,pomed001,"""Drew Pomeranz""",0,0,1
play,4,1,rickj001,21,.CBBX,S7/L
play,4,1,josec002,11,BFX,9/F
play,4,1,petej002,10,1BX,6/P
play,4,1,villj001,22,BBSF1,POCS2(136)
play,5,0,nunee002,00,X,T9/F
play,5,0,butld001,00,X,7/F/SF.3-H
play,5,0,bradj001,31,BCBBB,W
play,5,0,bettm001,02,C1F>B,SB2
play,5,0,bettm001,12,C1F>B.X,4/L-
play,5,0,holtb002,12,*BSCX,9/F
sub,carrc004,"""Cody Carroll""",1,0,1
play,6,1,nuner001,00,,NP
sub,hembh001,"""Heath Hembree""",0,0,1
play,6,1,nuner001,22,.CBBSFX,7/F
play,6,1,mullc002,31,CBBBB,W
play,6,1,rickj001,12,CBC1>FN,CS2(16)
play,6,1,rickj001,32,CBC1>FN.BBX,HR/78/F
play,6,1,josec002,01,CX,63/G
sub,wrigm001,"""Mike Wright""",1,0,1
play,7,1,petej002,00,,NP
sub,kellj001,"""Joe Kelly""",0,0,1
play,7,1,petej002,21,.BBFX,7/F
play,7,1,villj001,32,BFBBSX,S7/G+
play,7,1,jonea003,11,1FB1X,54(1)/FO/G-
play,7,1,manct001,00,>B,SB2
play,7,1,manct001,30,>B.BBB,W
play,7,1,davic003,22,B*B2FCX,8/F
sub,fry-p001,"""Paul Fry""",1,0,1
sub,cuevw001,"""William Cuevas""",0,0,1
sub,trumm001,"""Mark Trumbo""",1,9,11
sub,wynna001,"""Austin Wynns""",1,9,12
play,9,0,butld001,00,,NP
sub,wynna001,"""Austin Wynns""",1,9,2
play,9,0,butld001,00,,NP
sub,benia002,"""Andrew Benintendi""",0,8,11
play,9,0,benia002,12,..CBTS,K
play,9,0,bradj001,12,SBCH,HP
play,9,0,bettm001,11,BF>C,CS2(24)
play,9,0,bettm001,22,BF>C.BX,D9/G
play,9,0,holtb002,11,CBX,S8/L+.2-H;BX2(826)
sub,leons001,"""Sandy Leon""",0,8,2
sub,kimbc001,"""Craig Kimbrel""",0,0,1
