id,BAL201808260
info,visteam,NYA
info,hometeam,BAL
info,date,2018/08/26
info,starttime,8:08PM
start,gardb001,"""Brett Gardner""",0,1,8
start,stanm004,"""Giancarlo Stanton""",0,2,9
start,hicka001,"""Aaron Hicks""",0,3,10
start,andum001,"""Miguel Andujar""",0,4,5
start,walkn001,"""Neil Walker""",0,5,4
start,torrg001,"""Gleyber Torres""",0,6,6
start,voitl001,"""Luke Voit""",0,7,3
start,romia002,"""Austin Romine""",0,8,2
start,robis001,"""Shane Robinson""",0,9,7
start,sevel001,"""Luis Severino""",0,0,1
start,villj001,"""Jonathan Villar""",1,1,4
start,gentc001,"""Craig Gentry""",1,2,8
start,manct001,"""Trey Mancini""",1,3,10
start,jonea003,"""Adam Jones""",1,4,9
start,davic003,"""Chris Davis""",1,5,3
start,beckt001,"""Tim Beckham""",1,6,6
start,nuner001,"""Renato Nunez""",1,7,5
start,petej002,"""Jace Peterson""",1,8,7
start,josec002,"""Caleb Joseph""",1,9,2
start,bundd001,"""Dylan Bundy""",1,0,1
play,1,1,villj001,32,CBBCBFFF*B,W
play,1,1,gentc001,00,X,7/L
play,1,1,manct001,10,1B1>B,SB2
play,1,1,manct001,32,1B1>B.C*BF2X,43/G+.2-3
play,1,1,jonea003,12,C*BFT,K
play,5,1,petej002,30,BBBB,W
play,5,1,josec002,12,CFBFF>B,SB2
play,5,1,josec002,22,CFBFF>B.FFX,43/G-.2-3
play,5,1,villj001,00,X,8/L/SF.3-H
play,5,1,gentc001,21,SBBX,7/L
sub,carrc004,"""Cody Carroll""",1,0,1
play,6,1,manct001,11,CBX,HR/8/F
play,6,1,jonea003,12,FFFBS,K
play,6,1,davic003,01,CX,7/F
play,6,1,beckt001,02,CFX,E6/TH/G
play,6,1,nuner001,00,,NP
sub,greec003,"""Chad Green""",0,0,1
play,6,1,nuner001,11,.FB1X,S8/L.1-2
play,6,1,petej002,11,CBB,WP.2-3;1-2
play,6,1,petej002,21,CBB.X,S9/G+.3-H(UR);2-3
play,6,1,josec002,00,>C,SB2
play,6,1,josec002,12,>C.SFBS,K
sub,ramiy001,"""Yefry Ramirez""",1,0,1
play,7,1,villj001,21,CBBX,63/G+
play,7,1,gentc001,10,BX,S9/G
play,7,1,manct001,00,,NP
sub,britz001,"""Zach Britton""",0,0,1
play,7,1,manct001,10,.B>B,SB2
play,7,1,manct001,21,.B>B.CB,WP.2-3
play,7,1,manct001,32,.B>B.CB.FS,K
play,7,1,jonea003,20,BBX,43/G
sub,robed002,"""David Robertson""",0,0,1
