id,BOS201808020
info,visteam,NYA
info,hometeam,BOS
info,date,2018/08/02
info,starttime,7:10PM
start,hicka001,"""Aaron Hicks""",0,1,8
start,stanm004,"""Giancarlo Stanton""",0,2,9
start,gregd001,"""Didi Gregorius""",0,3,6
start,torrg001,"""Gleyber Torres""",0,4,4
start,andum001,"""Miguel Andujar""",0,5,5
start,birdg001,"""Greg Bird""",0,6,3
start,voitl001,"""Luke Voit""",0,7,10
start,romia002,"""Austin Romine""",0,8,2
start,gardb001,"""Brett Gardner""",0,9,7
start,sabac001,"""CC Sabathia""",0,0,1
start,bettm001,"""Mookie Betts""",1,1,9
start,benia002,"""Andrew Benintendi""",1,2,7
start,pears001,"""Steve Pearce""",1,3,3
start,martj006,"""J.D. Martinez""",1,4,10
start,kinsi001,"""Ian Kinsler""",1,5,4
start,nunee002,"""Eduardo Nunez""",1,6,5
start,swihb001,"""Blake Swihart""",1,7,2
start,holtb002,"""Brock Holt""",1,8,6
start,bradj001,"""Jackie Bradley""",1,9,8
start,johnb004,"""Brian Johnson""",1,0,1
play,1,1,bettm001,32,CBBFBFB,W
play,1,1,benia002,12,1BCFX,7/L
play,1,1,pears001,00,>B,SB2
play,1,1,pears001,12,>B.FSX,8/F
play,1,1,martj006,02,CFX,63/G
play,3,1,pears001,12,BCFX,HR/7/F
play,3,1,martj006,32,BBBCCFB,W
play,3,1,kinsi001,00,X,9/F
play,3,1,nunee002,00,>B,SB2
play,3,1,nunee002,12,>B.CFFX,FC6/G.2X3(64)
play,3,1,swihb001,10,BX,E1/TH/L.1-3;B-2
play,3,1,holtb002,21,BBCX,9/F
play,4,1,bradj001,00,,NP
sub,holdj002,"""Jonathan Holder""",0,0,1
play,4,1,bradj001,31,.BBBCB,W
play,4,1,bettm001,10,1BX,D8/F.1-3
play,4,1,benia002,12,CCBFX,FC1/G.3-H;2-3
play,4,1,pears001,11,SB1N,SB2
play,4,1,pears001,21,SB1N.*BX,HR/78/F.3-H;2-H
play,4,1,martj006,11,FBX,D8/L+
play,4,1,kinsi001,10,BX,S9/L.2-H
play,4,1,nunee002,01,C11>B,SB2
play,4,1,nunee002,12,C11>B.LX,D7/L.2-H
play,4,1,swihb001,00,,NP
sub,greec003,"""Chad Green""",0,0,1
play,4,1,swihb001,02,.CFS,K
play,4,1,holtb002,12,BFSX,9/L
play,4,1,bradj001,00,X,D8/F+.2-H
play,4,1,bettm001,31,CBBBX,S7/L.2-3
play,4,1,benia002,02,CF>X,S7/G.3-H;1-3
play,4,1,pears001,00,,NP
sub,cessl001,"""Luis Cessa""",0,0,1
play,4,1,pears001,10,.*B1X,64(1)/FO/G
sub,leons001,"""Sandy Leon""",1,7,2
sub,workb001,"""Brandon Workman""",1,0,1
sub,kellj001,"""Joe Kelly""",1,0,1
sub,britz001,"""Zach Britton""",0,0,1
sub,brasr001,"""Ryan Brasier""",1,0,1
