id,CHA201804070
info,visteam,DET
info,hometeam,CHA
info,date,2018/04/07
info,starttime,1:11PM
start,martl004,"""Leonys Martin""",0,1,8
start,candj002,"""Jeimer Candelario""",0,2,5
start,cabrm001,"""Miguel Cabrera""",0,3,3
start,castn001,"""Nick Castellanos""",0,4,9
start,martv001,"""Victor Martinez""",0,5,10
start,mccaj001,"""James McCann""",0,6,2
start,jonej006,"""JaCoby Jones""",0,7,7
start,iglej001,"""Jose Iglesias""",0,8,6
start,machd001,"""Dixon Machado""",0,9,4
start,fulmm001,"""Michael Fulmer""",0,0,1
start,moncy001,"""Yoan Moncada""",1,1,4
start,garca003,"""Avisail Garcia""",1,2,9
start,abrej003,"""Jose Abreu""",1,3,3
start,davim005,"""Matt Davidson""",1,4,10
start,delmn001,"""Nicky Delmonico""",1,5,7
start,castw002,"""Welington Castillo""",1,6,2
start,andet001,"""Tim Anderson""",1,7,6
start,sancc001,"""Yolmer Sanchez""",1,8,5
start,engea001,"""Adam Engel""",1,9,8
start,gioll001,"""Lucas Giolito""",1,0,1
play,3,0,jonej006,00,X,63/G
play,3,0,iglej001,10,BH,HP
play,3,0,machd001,01,C>B,SB2
play,3,0,machd001,32,C>B.BBSX,53/G
play,3,0,martl004,31,*BF*BBB,W
play,3,0,candj002,30,BBB*B,W.2-3;1-2
play,3,0,cabrm001,11,BCX,S8/G.3-H;2-H;1-3
play,3,0,castn001,12,SBSX,9/F
play,4,0,martv001,32,BBBCFS,K
play,4,0,mccaj001,10,BX,8/F
play,4,0,jonej006,31,BBFBB,W
play,4,0,iglej001,10,11B>C,SB2
play,4,0,iglej001,11,11B>C..X,2/P2F
sub,santh001,"""Hector Santiago""",1,0,1
sub,wilsa001,"""Alex Wilson""",0,0,1
play,8,0,jonej006,12,BFFH,HP
play,8,0,iglej001,32,BCBBC>F>F1>F>B,W.1-2
play,8,0,machd001,22,FBFBX,3/P/IF
play,8,0,martl004,10,*B>S,SB3
play,8,0,martl004,22,*B>S.FFBS,K
play,8,0,candj002,22,CBFB>FS,K
sub,jimej003,"""Joe Jimenez""",0,0,1
play,9,0,cabrm001,00,,NP
sub,minaj001,"""Juan Minaya""",1,0,1
play,9,0,cabrm001,32,.BBSFBFFB,W
play,9,0,castn001,00,,NP
sub,goodn002,"""Niko Goodrum""",0,3,12
play,9,0,castn001,21,.B1BC>B,SB2
play,9,0,castn001,32,.B1BC>B.CB,W
play,9,0,martv001,30,BBBB,W.2-3;1-2
play,9,0,mccaj001,00,,NP
sub,reyev001,"""Victor Reyes""",0,5,12
play,9,0,mccaj001,31,.BBBCB,W.3-H;2-3;1-2
play,9,0,jonej006,00,,NP
sub,infag001,"""Gregory Infante""",1,0,1
play,9,0,jonej006,10,.BX,5/P5F
play,9,0,iglej001,02,FFS,K
play,9,0,machd001,02,FCS,K
sub,stumd001,"""Daniel Stumpf""",0,0,1
sub,goodn002,"""Niko Goodrum""",0,3,3
sub,farmb001,"""Buck Farmer""",0,0,1
