id,CHA201808170
info,visteam,KCA
info,hometeam,CHA
info,date,2018/08/17
info,starttime,7:11PM
start,merrw001,"""Whit Merrifield""",0,1,8
start,gorda001,"""Alex Gordon""",0,2,7
start,peres002,"""Salvador Perez""",0,3,10
start,dudal001,"""Lucas Duda""",0,4,3
start,herrr002,"""Rosell Herrera""",0,5,4
start,bonij002,"""Jorge Bonifacio""",0,6,9
start,dozih001,"""Hunter Dozier""",0,7,5
start,escoa003,"""Alcides Escobar""",0,8,6
start,buted001,"""Drew Butera""",0,9,2
start,junij001,"""Jake Junis""",0,0,1
start,moncy001,"""Yoan Moncada""",1,1,4
start,sancc001,"""Yolmer Sanchez""",1,2,5
start,abrej003,"""Jose Abreu""",1,3,3
start,davim005,"""Matt Davidson""",1,4,10
start,garca003,"""Avisail Garcia""",1,5,9
start,narvo001,"""Omar Narvaez""",1,6,2
start,andet001,"""Tim Anderson""",1,7,6
start,delmn001,"""Nicky Delmonico""",1,8,7
start,engea001,"""Adam Engel""",1,9,8
start,shiej002,"""James Shields""",1,0,1
play,1,0,merrw001,02,CCFX,S7/G
play,1,0,gorda001,00,X,7/L+
play,1,0,peres002,22,1B*BFC1S,K
play,1,0,dudal001,11,BC>B,CS2(26)
sub,garcl004,"""Leury Garcia""",1,5,9
play,4,1,garcl004,00,X,5/L
play,4,1,narvo001,12,CCBC,K
play,4,1,andet001,32,BSFBBB,W
play,4,1,delmn001,02,CS>B,SB2
play,4,1,delmn001,12,CS>B.FX,S9/G.2-H
play,4,1,engea001,22,FBCFFFBS,K
play,6,1,narvo001,11,FBX,43/G
play,6,1,andet001,00,X,D7/F
play,6,1,delmn001,00,,NP
sub,hillt002,"""Tim Hill""",0,0,1
play,6,1,delmn001,10,.B>C,SB3
play,6,1,delmn001,12,.B>C.FFFX,53/G.3-H
play,6,1,engea001,01,FX,13/G
play,7,1,moncy001,00,X,S7/L
play,7,1,sancc001,00,X,E6/FO/G.1-2
play,7,1,abrej003,00,,NP
sub,adamj002,"""Jason Adam""",0,0,1
play,7,1,abrej003,00,.X,HR/78/L.2-H(UR);1-H
play,7,1,davim005,22,CBFBC,K
play,7,1,garcl004,22,CBBFFX,S9/G
play,7,1,narvo001,00,11>B,SB2
play,7,1,narvo001,30,11>B.BB*B,W
play,7,1,andet001,11,BCX,S7/L.2-H;1-2
play,7,1,delmn001,00,X,HR/89/F.2-H;1-H
play,7,1,engea001,00,,NP
sub,smitb005,"""Burch Smith""",0,0,1
play,7,1,engea001,12,.FCBFS,K
play,7,1,moncy001,21,BBSX,8/L
sub,fry-j001,"""Jace Fry""",1,0,1
sub,vieit001,"""Thyago Vieira""",1,0,1
