id,CHN201807070
info,visteam,CIN
info,hometeam,CHN
info,date,2018/07/07
info,starttime,1:20PM
start,sches001,"""Scott Schebler""",0,1,9
start,barnt001,"""Tucker Barnhart""",0,2,2
start,vottj001,"""Joey Votto""",0,3,3
start,genns001,"""Scooter Gennett""",0,4,4
start,suare001,"""Eugenio Suarez""",0,5,5
start,winkj002,"""Jesse Winker""",0,6,7
start,peraj003,"""Jose Peraza""",0,7,6
start,harvm001,"""Matt Harvey""",0,8,1
start,hamib001,"""Billy Hamilton""",0,9,8
start,zobrb001,"""Ben Zobrist""",1,1,9
start,heywj001,"""Jason Heyward""",1,2,8
start,baezj001,"""Javier Baez""",1,3,4
start,rizza001,"""Anthony Rizzo""",1,4,3
start,happi001,"""Ian Happ""",1,5,5
start,schwk001,"""Kyle Schwarber""",1,6,7
start,carav001,"""Victor Caratini""",1,7,2
start,russa002,"""Addison Russell""",1,8,6
start,chatt001,"""Tyler Chatwood""",1,9,1
play,4,0,peraj003,00,,NP
sub,almoa002,"""Albert Almora""",1,2,8
play,4,0,peraj003,31,.BCBBB,W
play,4,0,harvm001,00,1>B,SB2
play,4,0,harvm001,11,1>B.LX,34/BG
play,4,0,hamib001,21,FBBX,S9/L.2-3
play,4,0,sches001,02,>F1>F1>F>S,K+SB2
play,4,0,barnt001,12,FF*BX,43/G
play,6,0,hamib001,12,BCSX,S6/G
play,6,0,sches001,00,111>B,SB2
play,6,0,sches001,22,111>B.FFBX,13/G
play,6,0,barnt001,10,BX,8/F
play,6,0,vottj001,12,FFB>X,S9/L.2-H
play,6,0,genns001,00,,NP
sub,rosar002,"""Randy Rosario""",1,9,1
play,6,0,genns001,00,.X,8/F
sub,hernd002,"""David Hernandez""",0,8,1
sub,duvaa001,"""Adam Duvall""",0,8,7
sub,garra001,"""Amir Garrett""",0,6,1
play,8,0,duvaa001,10,BX,6/P
play,8,0,hamib001,00,X,S1/G
play,8,0,sches001,21,B1CB>C,SB2
play,8,0,sches001,22,B1CB>C.S,K
play,8,0,barnt001,22,B>FCB>S,K
play,8,1,carav001,32,FBBFBB,W
play,8,1,russa002,32,BF*BBFB,W.1-2
play,8,1,rosar002,00,,NP
sub,boted002,"""David Bote""",1,9,11
play,8,1,boted002,10,.BX,S9/L.2-3;1-2
play,8,1,zobrb001,00,,NP
sub,hughj001,"""Jared Hughes""",0,6,1
play,8,1,zobrb001,11,.FBX,D8/L.3-H;2-H;1-3
play,8,1,almoa002,02,CSS,K
play,8,1,baezj001,00,X,S1/G.3-H;2-3
play,8,1,rizza001,02,CF>X,43/G.3-H;1-2
play,8,1,happi001,10,B>S,SB3
play,8,1,happi001,12,B>S.FT,K
sub,boted002,"""David Bote""",1,9,5
sub,morrb001,"""Brandon Morrow""",1,5,1
