id,CLE201805031
info,visteam,TOR
info,hometeam,CLE
info,date,2018/05/03
info,starttime,3:03PM
start,granc001,"""Curtis Granderson""",0,1,7
start,donaj001,"""Josh Donaldson""",0,2,5
start,hernt002,"""Teoscar Hernandez""",0,3,9
start,solay001,"""Yangervis Solarte""",0,4,4
start,pillk001,"""Kevin Pillar""",0,5,8
start,martr004,"""Russell Martin""",0,6,2
start,morak001,"""Kendrys Morales""",0,7,10
start,pears001,"""Steve Pearce""",0,8,3
start,gurrl001,"""Lourdes Gurriel""",0,9,6
start,garcj004,"""Jaime Garcia""",0,0,1
start,lindf001,"""Francisco Lindor""",1,1,6
start,davir003,"""Rajai Davis""",1,2,7
start,ramij003,"""Jose Ramirez""",1,3,5
start,branm003,"""Michael Brantley""",1,4,10
start,encae001,"""Edwin Encarnacion""",1,5,3
start,gomey001,"""Yan Gomes""",1,6,2
start,guyeb001,"""Brandon Guyer""",1,7,9
start,zimmb001,"""Bradley Zimmer""",1,8,8
start,gonze004,"""Erik Gonzalez""",1,9,4
start,carrc003,"""Carlos Carrasco""",1,0,1
play,3,1,zimmb001,22,MBSBS,K23
play,3,1,gonze004,10,BX,S8/G
play,3,1,lindf001,00,X,S6/G.1-2
play,3,1,davir003,01,CX,64(1)/FO/G.2-3
play,3,1,ramij003,10,B>B,SB2
play,3,1,ramij003,21,B>B.FX,3/P
play,4,1,branm003,20,BBX,S9/L+
play,4,1,encae001,32,S*B*BFFBX,S9/F.1-2
play,4,1,gomey001,10,BX,8/F.2-3
play,4,1,guyeb001,21,CBBX,D7/F.3-H;1-3
play,4,1,zimmb001,11,C*BX,S8/G+.3-H;2-H
play,4,1,gonze004,10,B>B,SB2
play,4,1,gonze004,22,B>B.FCS,K+WP.2-3;B-1
play,4,1,lindf001,01,CX,HR/9/F.3-H;1-H
play,4,1,davir003,00,,NP
sub,barnd002,"""Danny Barnes""",0,0,1
play,4,1,davir003,01,.SX,S8/F
play,4,1,ramij003,21,1B1BC1>B,CS2(26)
play,4,1,ramij003,32,1B1BC1>B.FB,W
play,4,1,branm003,22,BCCB>F>B,SB2
play,4,1,branm003,32,BCCB>F>B.B,W
play,4,1,encae001,01,FX,S7/L+.2-H;1-3
play,4,1,gomey001,00,,NP
sub,axfoj001,"""John Axford""",0,0,1
play,4,1,gomey001,00,.X,43/G
sub,solay001,"""Yangervis Solarte""",0,4,3
sub,diaza003,"""Aledmys Diaz""",0,8,6
sub,gurrl001,"""Lourdes Gurriel""",0,9,4
sub,goodn001,"""Nick Goody""",1,0,1
play,7,0,pillk001,12,BSFX,S7/L
play,7,0,martr004,00,,NP
sub,mcalz001,"""Zach McAllister""",1,0,1
play,7,0,martr004,00,.1X,7/L
play,7,0,morak001,00,>B,SB2
play,7,0,morak001,31,>B.SBBX,43/G.2-3
play,7,0,diaza003,32,BBBCFFB,W
play,7,0,gurrl001,32,BBCFFB>X,S7/L.3-H;1X3(75)
sub,clipt001,"""Tyler Clippard""",0,0,1
sub,kipnj001,"""Jason Kipnis""",1,7,11
play,8,0,granc001,00,,NP
sub,kipnj001,"""Jason Kipnis""",1,7,4
play,8,0,granc001,00,,NP
sub,naqut001,"""Tyler Naquin""",1,9,9
play,8,0,granc001,22,..CBBSS,K
play,8,0,donaj001,02,CSFS,K
play,8,0,hernt002,32,CBBBCX,D8/L+
play,8,0,solay001,30,BBBB,W
play,8,0,pillk001,02,CCFFB,SB3
play,8,0,pillk001,12,CCFFB.X,D57/G+.3-H;1-3
play,8,0,martr004,00,,NP
sub,taylb002,"""Ben Taylor""",1,0,1
play,8,0,martr004,22,.CBC*BT,K
play,8,1,naqut001,00,,NP
sub,teper001,"""Ryan Tepera""",0,0,1
play,8,1,naqut001,22,.FCBBFS,K
play,8,1,lindf001,11,BFX,HR/8/F
play,8,1,davir003,12,SSBX,S5/G
play,8,1,ramij003,00,1,POCS2(136)
play,8,1,ramij003,31,1.BBBFB,W
play,8,1,branm003,00,X,D9/G.1-H;BX3(965)
sub,allec002,"""Cody Allen""",1,0,1
sub,oh--s001,"""Seung Hwan Oh""",0,0,1
sub,oterd001,"""Dan Otero""",1,0,1
sub,mayzt001,"""Tim Mayza""",0,0,1
sub,olsot002,"""Tyler Olson""",1,0,1
sub,maill001,"""Luke Maile""",0,1,11
sub,smitd007,"""Dwight Smith""",0,1,7
sub,osunr001,"""Roberto Osuna""",0,0,1
sub,alony001,"""Yonder Alonso""",1,6,11
