id,HOU201809220
info,visteam,ANA
info,hometeam,HOU
info,date,2018/09/22
info,starttime,6:11PM
start,calhk001,"""Kole Calhoun""",0,1,9
start,fernj004,"""Jose Miguel Fernandez""",0,2,3
start,troum001,"""Mike Trout""",0,3,8
start,ohtas001,"""Shohei Ohtani""",0,4,10
start,uptoj001,"""Justin Upton""",0,5,7
start,simma001,"""Andrelton Simmons""",0,6,6
start,wardt002,"""Taylor Ward""",0,7,5
start,cowak001,"""Kaleb Cowart""",0,8,4
start,bricj001,"""Jose Briceno""",0,9,2
start,barrj003,"""Jaime Barria""",0,0,1
start,sprig001,"""George Springer""",1,1,8
start,altuj001,"""Jose Altuve""",1,2,4
start,brega001,"""Alex Bregman""",1,3,5
start,gonzm002,"""Marwin Gonzalez""",1,4,6
start,gurry001,"""Yulieski Gurriel""",1,5,3
start,reddj001,"""Josh Reddick""",1,6,9
start,mccab002,"""Brian McCann""",1,7,2
start,gatte001,"""Evan Gattis""",1,8,10
start,kempt001,"""Tony Kemp""",1,9,7
start,verlj001,"""Justin Verlander""",1,0,1
sub,martj007,"""Jefry Marte""",0,2,12
sub,martj007,"""Jefry Marte""",0,2,3
play,5,1,kempt001,21,BLBX,9/F
play,5,1,sprig001,32,FBFBBFFB,W
play,5,1,altuj001,32,B1CB1S*B1>X,S9/L.1-3
play,5,1,brega001,22,BFC1BFF11FX,2/P2F
play,5,1,gonzm002,02,C1S1>P,CS2(26)
sub,bedrc001,"""Cam Bedrosian""",0,0,1
sub,alvaj003,"""Jose Alvarez""",0,0,1
sub,presr001,"""Ryan Pressly""",1,0,1
sub,roblh001,"""Hansel Robles""",0,0,1
play,8,0,cowak001,00,,NP
sub,sprig001,"""George Springer""",1,1,9
play,8,0,cowak001,00,,NP
sub,reddj001,"""Josh Reddick""",1,6,7
play,8,0,cowak001,00,,NP
sub,marij002,"""Jake Marisnick""",1,9,8
play,8,0,cowak001,00,,NP
sub,rondh001,"""Hector Rondon""",1,0,1
play,8,0,cowak001,00,,NP
sub,youne003,"""Eric Young""",0,8,11
play,8,0,youne003,32,.....CBBBFB,W
play,8,0,bricj001,00,,NP
sub,arcif001,"""Francisco Arcia""",0,9,11
play,8,0,arcif001,01,.1S>B,SB2
play,8,0,arcif001,12,.1S>B.CX,D7/L.2-H
play,8,0,calhk001,00,,NP
sub,hermm001,"""Michael Hermosillo""",0,9,12
play,8,0,calhk001,22,.BS*BFC,K
play,8,0,martj007,00,,NP
sub,smitj002,"""Joe Smith""",1,0,1
play,8,0,martj007,00,.X,FC1/G.2-3(E1/TH)
play,8,0,troum001,00,X,HR/8/F.3-H;1-H(UR)
play,8,0,ohtas001,00,X,S5/G-
play,8,0,uptoj001,31,BFBB>B,W.1-2
play,8,0,simma001,00,B,PB.2-3;1-2
play,8,0,simma001,20,B.BX,D7/F.3-H;2-3
play,8,0,wardt002,00,,NP
sub,mchuc001,"""Collin McHugh""",1,0,1
play,8,0,wardt002,01,.CX,FC6/G.3XH(62);2-3
play,8,0,youne003,31,BBFB>C,SB2
play,8,0,youne003,32,BBFB>C.X,7/F
play,8,1,altuj001,00,,NP
sub,johns002,"""Sherman Johnson""",0,9,4
play,8,1,altuj001,00,,NP
sub,hudsj002,"""Joe Hudson""",0,8,2
play,8,1,altuj001,00,,NP
sub,andej005,"""Justin Anderson""",0,0,1
play,8,1,altuj001,30,...BBBB,W
play,8,1,brega001,20,BBX,6/P
play,8,1,gonzm002,32,BCFBBB,W.1-2
play,8,1,gurry001,00,,NP
sub,buttt001,"""Ty Buttrey""",0,0,1
play,8,1,gurry001,01,.CX,S7/L.2-H;1-2
play,8,1,reddj001,32,CFBFBBB,W.2-3;1-2
play,8,1,mccab002,10,BX,S7/L.3-H;2-3;1-2
play,8,1,gatte001,00,,NP
sub,tuckk001,"""Kyle Tucker""",1,7,12
play,8,1,gatte001,00,.X,S9/L-.3-H;2-3;1-2
play,8,1,marij002,00,,NP
sub,whitt002,"""Tyler White""",1,9,11
play,8,1,whitt002,22,.BFBFFX,E5/TH/FO/G.3-H;2-H(NR);1-3
play,8,1,sprig001,00,,NP
sub,parkb001,"""Blake Parker""",0,0,1
play,8,1,sprig001,00,,NP
sub,stram002,"""Myles Straw""",1,9,12
play,8,1,sprig001,01,..F>S,SB2
play,8,1,sprig001,02,..F>S.X,S8/G.3-H(UR);2-H
play,8,1,altuj001,20,B1BX,HR/7/F.1-H
play,8,1,brega001,00,X,S9/L
play,8,1,gonzm002,12,BFCS,K
play,8,1,gurry001,12,FFF*BFX,5/L
sub,maldm001,"""Martin Maldonado""",1,7,2
sub,stram002,"""Myles Straw""",1,9,8
sub,osunr001,"""Roberto Osuna""",1,0,1
