id,KCA201807040
info,visteam,CLE
info,hometeam,KCA
info,date,2018/07/04
info,starttime,7:15PM
start,lindf001,"""Francisco Lindor""",0,1,6
start,branm003,"""Michael Brantley""",0,2,7
start,ramij003,"""Jose Ramirez""",0,3,5
start,encae001,"""Edwin Encarnacion""",0,4,10
start,alony001,"""Yonder Alonso""",0,5,3
start,kipnj001,"""Jason Kipnis""",0,6,4
start,naqut001,"""Tyler Naquin""",0,7,9
start,perer003,"""Roberto Perez""",0,8,2
start,alleg002,"""Greg Allen""",0,9,8
start,bauet001,"""Trevor Bauer""",0,0,1
start,merrw001,"""Whit Merrifield""",1,1,4
start,herrr002,"""Rosell Herrera""",1,2,8
start,peres002,"""Salvador Perez""",1,3,10
start,dudal001,"""Lucas Duda""",1,4,3
start,bonij002,"""Jorge Bonifacio""",1,5,9
start,gorda001,"""Alex Gordon""",1,6,7
start,dozih001,"""Hunter Dozier""",1,7,5
start,escoa003,"""Alcides Escobar""",1,8,6
start,buted001,"""Drew Butera""",1,9,2
start,oakst001,"""Trevor Oaks""",1,0,1
play,1,0,lindf001,32,BCBFBFB,W
play,1,0,branm003,00,>C,SB2
play,1,0,branm003,12,>C.FBFX,D9/L.2-H
play,1,0,ramij003,10,*BX,8/F.2-3
play,1,0,encae001,00,X,8/F+/SF.3-H
play,1,0,alony001,02,CCX,3/G
play,2,1,bonij002,12,CBSFS,K23
play,2,1,gorda001,11,BCH,HP
play,2,1,dozih001,01,CX,S1/G-.1-2
play,2,1,escoa003,11,BCX,9/F.2-3
play,2,1,buted001,02,CC>B,CSH(2E4)(UR).1-2
play,2,1,buted001,32,CC>B.BBC,K
play,3,1,merrw001,12,CBFS,K
play,3,1,herrr002,11,BCX,S4/G
play,3,1,peres002,32,SFBBB1>S,K+CS2(24)/DP
play,5,0,lindf001,00,,NP
sub,fillh001,"""Heath Fillmyer""",1,0,1
play,5,0,lindf001,20,.BBX,8/F
play,5,0,branm003,00,X,3/G
play,5,0,ramij003,32,CBBFFBB,W
play,5,0,encae001,02,CFF>B,SB2
play,5,0,encae001,12,CFF>B.S,K
play,8,0,branm003,00,,NP
sub,hillt002,"""Tim Hill""",1,0,1
play,8,0,branm003,32,.LBBTBB,W
play,8,0,ramij003,01,CX,54(1)/FO/G
play,8,0,encae001,01,FX,9/F
play,8,0,alony001,00,111>S,SB2
play,8,0,alony001,12,111>S..FBS,K
play,8,1,merrw001,31,BCBBX,D7/L
play,8,1,herrr002,22,BFBFX,7/F
play,8,1,peres002,01,F>B,CS3(25)
play,8,1,peres002,11,F>B.X,S6/G
play,8,1,dudal001,00,,NP
sub,pereo002,"""Oliver Perez""",0,0,1
play,8,1,dudal001,22,.BFCBFC,K
sub,peraw001,"""Wily Peralta""",1,0,1
sub,allec002,"""Cody Allen""",0,0,1
