id,LAN201806260
info,visteam,CHN
info,hometeam,LAN
info,date,2018/06/26
info,starttime,7:10PM
start,zobrb001,"""Ben Zobrist""",0,1,4
start,heywj001,"""Jason Heyward""",0,2,9
start,baezj001,"""Javier Baez""",0,3,5
start,rizza001,"""Anthony Rizzo""",0,4,3
start,contw001,"""Willson Contreras""",0,5,2
start,schwk001,"""Kyle Schwarber""",0,6,7
start,happi001,"""Ian Happ""",0,7,8
start,russa002,"""Addison Russell""",0,8,6
start,lestj001,"""Jon Lester""",0,9,1
start,herne001,"""Enrique Hernandez""",1,1,6
start,turnj001,"""Justin Turner""",1,2,5
start,kempm001,"""Matt Kemp""",1,3,7
start,muncm001,"""Max Muncy""",1,4,3
start,forsl001,"""Logan Forsythe""",1,5,4
start,bellc002,"""Cody Bellinger""",1,6,8
start,puigy001,"""Yasiel Puig""",1,7,9
start,barna001,"""Austin Barnes""",1,8,2
start,strir001,"""Ross Stripling""",1,9,1
play,2,1,muncm001,32,BBBCFB,W
play,2,1,forsl001,32,BBCFFB>T,K+SB2
play,2,1,bellc002,11,BSX,S8/L+.2-H;B-3(E8/TH)(TH)
play,2,1,puigy001,30,BB*BX,FC5/G/DP.3XH(525);BX2(53)
play,4,0,contw001,00,X,53/G
play,4,0,schwk001,22,FFBBX,S1/BG
play,4,0,happi001,22,SBFF*B>B,CS2(26)
play,4,0,happi001,32,SBFF*B>B.B,W
play,4,0,russa002,00,X,S8/L.1-2
play,4,0,lestj001,10,BX,31/G
sub,taylc001,"""Chris Taylor""",1,9,11
sub,fergc001,"""Caleb Ferguson""",1,9,12
sub,garcy001,"""Yimi Garcia""",1,9,1
sub,lastt001,"""Tommy La Stella""",0,9,11
sub,paree002,"""Edward Paredes""",1,9,1
sub,cishs001,"""Steve Cishek""",0,9,1
play,7,0,contw001,00,,NP
sub,goede001,"""Erik Goeddel""",1,9,1
play,7,0,contw001,32,.SSFBFBBB,W
play,7,0,schwk001,32,*BSB*BFC,K
play,7,0,happi001,00,*B,SB2
play,7,0,happi001,32,*B.BCFBB,W
play,7,0,russa002,22,CBF*BX,9/F.2-3
play,7,0,cishs001,00,X,46(1)/FO/G
sub,grany001,"""Yasmani Grandal""",1,9,2
sub,hudsd001,"""Daniel Hudson""",1,8,1
play,8,1,grany001,00,,NP
sub,happi001,"""Ian Happ""",0,7,7
play,8,1,grany001,00,,NP
sub,almoa002,"""Albert Almora""",0,9,8
play,8,1,grany001,00,,NP
sub,duenb001,"""Brian Duensing""",0,6,1
play,8,1,grany001,22,...CCBBS,K
play,8,1,herne001,21,CBBX,S8/F
play,8,1,turnj001,30,*BBBB,W.1-2
play,8,1,kempm001,00,,NP
sub,bassa001,"""Anthony Bass""",0,6,1
play,8,1,kempm001,22,.CB*BFC,K
play,8,1,muncm001,12,CBFN,SB3
play,8,1,muncm001,12,CBFN.B,WP.3-H(NR);1-2
play,8,1,muncm001,22,CBFN.B.>B,SB3
play,8,1,muncm001,32,CBFN.B.>B.FX,S9/L.3-H
play,8,1,forsl001,22,C*BBCFX,64(1)/FO/G
play,9,0,happi001,12,CBCS,K
play,9,0,russa002,22,SFBBX,S9/L
play,9,0,almoa002,02,CF>B,SB2
play,9,0,almoa002,22,CF>B.*BX,S9/G.2-H
play,9,0,zobrb001,11,FBB,WP.1-2
play,9,0,zobrb001,21,FBB.X,8/F
play,9,0,heywj001,00,,NP
sub,fielj002,"""Josh Fields""",1,8,1
play,9,0,heywj001,12,.CBFFT,K
sub,wilsj004,"""Justin Wilson""",0,6,1
sub,pedej001,"""Joc Pederson""",1,8,11
