id,MIA201807090
info,visteam,MIL
info,hometeam,MIA
info,date,2018/07/09
info,starttime,7:10PM
start,thame001,"""Eric Thames""",0,1,9
start,cainl001,"""Lorenzo Cain""",0,2,8
start,yelic001,"""Christian Yelich""",0,3,7
start,aguij001,"""Jesus Aguilar""",0,4,3
start,shawt001,"""Travis Shaw""",0,5,5
start,millb002,"""Brad Miller""",0,6,4
start,pereh001,"""Hernan Perez""",0,7,6
start,nottj001,"""Jacob Nottingham""",0,8,2
start,andec001,"""Chase Anderson""",0,9,1
start,casts001,"""Starlin Castro""",1,1,4
start,andeb006,"""Brian Anderson""",1,2,9
start,bourj002,"""Justin Bour""",1,3,3
start,pradm001,"""Martin Prado""",1,4,5
start,riddj001,"""J.T. Riddle""",1,5,6
start,coopg002,"""Garrett Cooper""",1,6,7
start,maybc001,"""Cameron Maybin""",1,7,8
start,holab001,"""Bryan Holaday""",1,8,2
start,urenj001,"""Jose Urena""",1,9,1
play,2,1,riddj001,00,X,S9/G
play,2,1,coopg002,11,BFX,64(1)3/GDP
play,2,1,maybc001,12,CBFX,S15/G
play,2,1,holab001,10,B>B,SB2
play,2,1,holab001,31,B>B.CBB,W
play,2,1,urenj001,21,BBSX,13/BG
play,4,0,aguij001,31,FBBBX,HR/7/F
play,4,0,shawt001,10,BX,31/G
play,4,0,millb002,32,BSBCBC,K
play,4,0,pereh001,21,CBBX,S7/L+
play,4,0,nottj001,10,B>C,CS2(24)
sub,jeffj001,"""Jeremy Jeffress""",0,9,1
play,6,0,cainl001,32,BSBCBX,S8/L+
play,6,0,yelic001,22,C1B+1C>FFBT,K
play,6,0,aguij001,30,BBB>C,SB2
play,6,0,aguij001,32,BBB>C.CB,W
play,6,0,shawt001,11,CBX,8/F.2-3
play,6,0,millb002,00,,NP
sub,dietd001,"""Derek Dietrich""",1,9,7
play,6,0,millb002,00,,NP
sub,guerj002,"""Javy Guerra""",1,6,1
play,6,0,millb002,01,..FX,43/G
sub,orf-n001,"""Nate Orf""",0,9,11
sub,broxk001,"""Keon Broxton""",0,9,9
sub,hadej001,"""Josh Hader""",0,1,1
play,8,0,cainl001,00,,NP
sub,rojam002,"""Miguel Rojas""",1,6,3
play,8,0,cainl001,00,,NP
sub,stecd001,"""Drew Steckenrider""",1,3,1
play,8,0,cainl001,22,..BCSBX,S8/L
play,8,0,yelic001,02,CSX,46(1)/FO/G
play,8,0,aguij001,01,1C*B,SB2
play,8,0,aguij001,32,1C*B.BS2BC,K
play,8,0,shawt001,00,X,S9/L.2-H;B-2(TH)
play,8,0,millb002,30,VVVV,IW
play,8,0,pereh001,11,BFX,64(1)/FO/G
sub,salat001,"""Tyler Saladino""",0,1,6
sub,willt003,"""Taylor Williams""",0,7,1
sub,barrk002,"""Kyle Barraclough""",1,3,1
sub,rivey001,"""Yadiel Rivera""",1,3,11
sub,rivey001,"""Yadiel Rivera""",1,3,5
sub,ziegb001,"""Brad Ziegler""",1,4,1
play,10,1,riddj001,00,,NP
sub,villj001,"""Jonathan Villar""",0,7,4
play,10,1,riddj001,00,,NP
sub,knebc001,"""Corey Knebel""",0,6,1
play,10,1,riddj001,32,..BBBCSX,3/G
play,10,1,rojam002,22,CBBFH,HP
play,10,1,maybc001,30,11BB1BB,W.1-2
play,10,1,holab001,00,>B,SB3;SB2
play,10,1,holab001,11,>B.FX,S8/G.3-H;2-3
