catcher_name
Martin Maldonado
Jonathan Lucroy
Rene Rivera
Nick Hundley
Gary Sanchez
Caleb Joseph
Chance Sisco
Bobby Wilson
Mitch Garver
Max Stassi
Brian McCann
Wilson Ramos
Robinson Chirinos
Salvador Perez
Jeff Mathis
Luke Maile
Jose Briceno
Yasmani Grandal
Chris Herrmann
David Freitas
Tim Federowicz
Kevan Smith
Omar Narvaez
James McCann
Josh Phegley
Francisco Arcia
Tony Wolters
Chris Iannetta
Isiah Kiner-Falefa
Joe Hudson
Mike Zunino
John Ryan Murphy
Alex Avila
Austin Hedges
Pedro Severino
Jett Bandy
Tucker Barnhart
J.T. Realmuto
Elias Diaz
Devin Mesoraco
Kevin Plawecki
Yadier Molina
Buster Posey
Jorge Alfaro
Tyler Flowers
Kurt Suzuki
Willson Contreras
Austin Barnes
Chris Stewart
Andrew Knapp
Miguel Montero
Carlos Perez
Tomas Nido
Jose Lobaton
Bryan Holaday
Spencer Kieboom
A.J. Ellis
Austin Wynns
Russell Martin
Manny Pina
Michael Perez
Francisco Cervelli
Jacob Stallings
Christian Vazquez
Jason Castro
Yan Gomes
Sandy Leon
Kyle Higashioka
Austin Romine
Blake Swihart
Dan Butler
Danny Jansen
Beau Taylor
Welington Castillo
Reese McGuire
Jesus Sucre
Andrew Susac
Roberto Perez
John Hicks
Erik Kratz
Alfredo Gonzalez
Grayson Greiner
Drew Butera
Victor Caratini
Chris Gimenez
Curt Casali
Francisco Pena
Matt Wieters
Tony Cruz
Cam Gallagher
Willians Astudillo
Adam Moore
Meibrys Viloria
Eric Haase
Tom Murphy
Carson Kelly
Bruce Maxwell
Rafael Lopez
Tomas Telis
Chad Wallach
Jacob Nottingham
Aramis Garcia
Mike Marjama
Francisco Mejia
Juan Graterol
Steve Baron
Dustin Garneau
Nick Ciuffo
Travis d'Arnaud
