runner_on_first_name
Bradley Zimmer
Rajai Davis
Francisco Lindor
Boog Powell
Kole Calhoun
Jake Smolinski
Mike Trout
Andrelton Simmons
Andrew McCutchen
Gregor Blanco
Ian Kinsler
Chris Young
Eddie Rosario
Marwin Gonzalez
C.J. Cron
Mallex Smith
Alcides Escobar
Michael Hermosillo
Whit Merrifield
Russell Martin
Shohei Ohtani
Justin Upton
Yoan Moncada
Adam Engel
Dee Gordon
Ben Gamel
Denard Span
James McCann
Eric Young
Jose Briceno
Alex Bregman
Jose Altuve
Trevor Story
Carlos Gonzalez
Jefry Marte
Rougned Odor
Jean Segura
Kristopher Negron
Ramon Laureano
Chad Pinder
Taylor Ward
Jabari Blash
DJ LeMahieu
Jake Lamb
Kelby Tomlinson
Jarrod Dyson
Christian Villanueva
Carlos Asuaje
Franchy Cordero
Chris Owings
A.J. Pollock
Deven Marrero
Tim Locastro
Zack Greinke
Steven Souza
Bryce Harper
Trea Turner
Jonathan Villar
Christian Yelich
Lorenzo Cain
Daniel Descalso
Jose Peraza
Paul Goldschmidt
Nick Ahmed
Kevin Plawecki
Jon Jay
Brandon Nimmo
Jose Reyes
Austin Slater
Harrison Bader
Freddy Galvis
Travis Jankowski
Wil Myers
Manuel Margot
Ketel Marte
Ian Desmond
Robinson Chirinos
Chase d'Arnaud
Roman Quinn
Cesar Hernandez
Eduardo Escobar
Dansby Swanson
Ronald Acuna
David Peralta
Ender Inciarte
Freddie Freeman
Cody Bellinger
Enrique Hernandez
Rhys Hoskins
Nick Markakis
Scott Kingery
Andrew Knapp
Aaron Altherr
Michael Taylor
Ryan Flaherty
Todd Frazier
Ozzie Albies
Michael Conforto
Kris Bryant
Miguel Rojas
Jose Bautista
Amed Rosario
Luis Guillorme
Brian Goodwin
Jose Pirela
Craig Gentry
Manny Machado
Danny Santana
Charlie Culberson
Scooter Gennett
Starlin Castro
Hernan Perez
Rafael Ortega
Magneuris Sierra
Ryan McMahon
David Dahl
Gerardo Parra
Matt Duffy
Joey Wendle
Carlos Gomez
Starling Marte
Kevin Newman
Adam Frazier
Francisco Cervelli
Gregory Polanco
Mookie Betts
Juan Soto
Wilmer Difo
Adam Eaton
Johan Camargo
Kolten Wong
Byron Buxton
Jonathan Schoop
Yangervis Solarte
Tyler Naquin
Michael Brantley
Jose Iglesias
Nick Williams
Brett Gardner
Didi Gregorius
Andrew Benintendi
Jace Peterson
Eduardo Nunez
Danny Valencia
Steve Wilkerson
Joey Rickard
Chris Davis
Elvis Andrus
Caleb Joseph
J.D. Martinez
Adam Jones
Tim Beckham
Xander Bogaerts
Jackie Bradley
Cedric Mullins
Gleyber Torres
Miguel Andujar
John Andreoli
Breyvic Valera
Tim Anderson
Lourdes Gurriel
DJ Stewart
Jonathan Davis
Daniel Robertson
Hanley Ramirez
Shane Robinson
Giancarlo Stanton
Rob Refsnyder
Mitch Moreland
Sandy Leon
Brock Holt
Kevin Pillar
Kendrys Morales
Rafael Devers
Brian Dozier
Kevin Kiermaier
Ji-Man Choi
Jose Ramirez
Greg Allen
J.T. Riddle
Brian McCann
Christian Vazquez
Blake Swihart
Jeff McNeil
Jay Bruce
Jack Reinheimer
Leonys Martin
Niko Goodrum
JaCoby Jones
Avisail Garcia
Dixon Machado
Leury Garcia
Yolmer Sanchez
Nicky Delmonico
Ryan LaMarre
Corey Dickerson
Daniel Palka
Delino DeShields
Jurickson Profar
Jose Rondon
Charlie Tilson
Erik Gonzalez
Trayce Thompson
Victor Reyes
Marcus Semien
Dustin Fowler
Max Kepler
Kevan Smith
Randal Grichuk
Adalberto Mondesi
Roberto Perez
Robbie Grossman
Mikie Mahtook
Ronny Rodriguez
Jose Miguel Fernandez
Welington Castillo
Ian Happ
Albert Almora
Domingo Santana
Javier Baez
Orlando Arcia
Charlie Blackmon
Martin Prado
David Bote
Anthony Rizzo
Willson Contreras
Kyle Schwarber
Austin Meadows
Ben Zobrist
Josh Harrison
Addison Russell
Billy Hamilton
Scott Schebler
Jason Heyward
Yadier Molina
Tommy Pham
Phillip Ervin
Austin Jackson
Daniel Murphy
Terrance Gore
Josh Bell
Ryan Braun
Jose Martinez
Tucker Barnhart
Adam Duvall
Eric Thames
Dexter Fowler
Mason Williams
Joe Panik
Yasiel Puig
Joey Votto
Alex Gordon
Jorge Soler
Aledmys Diaz
Joey Gallo
George Springer
Tony Kemp
Brandon Guyer
Mark Canha
Jason Kipnis
Aaron Judge
Kaleb Cowart
Logan Forsythe
Jorge Polanco
Melky Cabrera
Willy Adames
Nolan Arenado
Mike Tauchman
Gorkys Hernandez
Christian Walker
Tom Murphy
Mitch Haniger
Kyle Tucker
Greg Garcia
Matt Carpenter
Noel Cuevas
Brandon Belt
Chase Utley
Dylan Cozens
Victor Robles
Abraham Almonte
Nelson Cruz
Jeimer Candelario
Ehire Adrianza
Logan Morrison
John Hicks
Isiah Kiner-Falefa
Tzu-Wei Lin
Jim Adduci
Nick Castellanos
Yairo Munoz
Jake Marisnick
Rosell Herrera
Josh Reddick
Derek Fisher
Aaron Hicks
Evan Gattis
Brandon Crawford
Yulieski Gurriel
Johnny Field
Mike Moustakas
Justin Smoak
Carlos Tocci
David Fletcher
Carlos Correa
Myles Straw
Mike Marjama
Jose Abreu
Matt Chapman
Shin-Soo Choo
Hunter Dozier
Brett Phillips
Gregorio Petit
Chris Taylor
Joc Pederson
Yasmani Grandal
Cameron Maybin
Brian Anderson
J.B. Shuck
Tony Wolters
Ross Stripling
Max Muncy
Austin Barnes
Justin Turner
Steven Duggar
Nick Hundley
Garrett Hampson
Eric Hosmer
Hunter Renfroe
Lewis Brinson
J.T. Realmuto
Odubel Herrera
Derek Dietrich
Cory Spangenberg
Matt Szczur
Yadiel Rivera
Buster Posey
Mac Williamson
Travis Shaw
Tyler Saladino
Isaac Galloway
Eugenio Suarez
Eric Sogard
Chris Gimenez
J.P. Crawford
Nate Orf
Keon Broxton
Manny Pina
Alen Hanson
Jordan Luplow
Teoscar Hernandez
Jake Cave
Adeiny Hechavarria
Edwin Encarnacion
Lucas Duda
Tyler Austin
Jorge Bonifacio
Gary Sanchez
Harold Castro
Joe Mauer
Anthony Santander
Jake Bauers
Guillermo Heredia
Austin Romine
Drew Robinson
Tyler Wade
Jedd Gyorko
Juan Lagares
Moises Sierra
Yoenis Cespedes
Curtis Granderson
Kevin Kaczmarski
Austin Hedges
Pedro Florimon
Ryan Rua
Matt Olson
Matt Joyce
Gordon Beckham
Andrew Romine
Luis Valbuena
Hunter Pence
Tyler White
Devon Travis
Carlos Santana
Maikel Franco
Jorge Alfaro
Andrew Stevenson
Colin Moran
Sean Rodriguez
Curt Casali
Jordy Mercer
Erik Kratz
Elias Diaz
Pablo Reyes
Howie Kendrick
Marcell Ozuna
Rafael Lopez
Tyson Ross
Luis Urias
Chris Shaw
Ildemaro Vargas
Socrates Brito
Lonnie Chisenhall
Ronald Guzman
Pete Kozma
Kyle Seager
Hanser Alberto
Evan Longoria
Andrew Toles
Tyler O'Neill
Paul DeJong
Patrick Wisdom
Anthony Alford
Brandon Lowe
Andrew Velazquez
Richard Urena
Jon Berti
Nomar Mazara
Carlos Perez
Josh Donaldson
Luke Maile
Cheslor Cuthbert
Grayson Greiner
Taylor Motter
Reese McGuire
Billy McKinney
Pedro Severino
Anthony Rendon
Max Scherzer
Matt Wieters
Alex Wood
Justin Bour
Ryan Zimmerman
Austin Dean
