catcher_name
Alfredo Gonzalez
J.T. Realmuto
Beau Taylor
Chris Stewart
Kyle Higashioka
Jorge Alfaro
Willians Astudillo
Meibrys Viloria
Michael Perez
Tomas Nido
Austin Hedges
Gary Sanchez
Blake Swihart
Manny Pina
Reese McGuire
Wilson Ramos
Aramis Garcia
Grayson Greiner
Carlos Perez
Welington Castillo
Dan Butler
Sandy Leon
Chris Herrmann
Roberto Perez
Yan Gomes
Willson Contreras
Cam Gallagher
Alex Avila
Rene Rivera
Drew Butera
Andrew Knapp
Raffy Lopez
Elias Diaz
Salvador Perez
Martin Maldonado
Spencer Kieboom
Pedro Severino
Jonathan Lucroy
Bryan Holaday
Matt Wieters
Chad Wallach
Mike Zunino
Juan Graterol
Jacob Nottingham
Jose Lobaton
Nick Hundley
Buster Posey
Josh Phegley
Tony Wolters
John Hicks
Adam Moore
Luke Maile
Austin Wynns
Kevan Smith
Tom Murphy
Erik Kratz
Jose Briceno
Isiah Kiner-Falefa
Jesus Sucre
Francisco Cervelli
Yasmani Grandal
James McCann
A.J. Ellis
Yadier Molina
Tucker Barnhart
Omar Narvaez
Curt Casali
John Ryan Murphy
Caleb Joseph
Bruce Maxwell
Mitch Garver
Jett Bandy
Chris Iannetta
Jacob Stallings
Austin Romine
Devin Mesoraco
Jason Castro
Brian McCann
Francisco Arcia
Kevin Plawecki
Robinson Chirinos
Tyler Flowers
Christian Vazquez
Russell Martin
Bobby Wilson
Chance Sisco
Max Stassi
Kurt Suzuki
Jeff Mathis
Tomas Telis
Austin Barnes
Chris Gimenez
Victor Caratini
Danny Jansen
Andrew Susac
Eric Haase
Francisco Pena
David Freitas
Nick Ciuffo
Travis d'Arnaud
Tony Cruz
Joe Hudson
Miguel Montero
Steven Baron
Tim Federowicz
Dustin Garneau
Francisco Mejia
Carson Kelly
