game_id,home_team,away_team,date_time,play,is_stolen_base_attempt,is_successful,inning,home_half,outs,pitcher,catcher,batter,on_first,on_second,on_third,runner_on_first,runner_on_second,runner_on_third,pitches,num_pitches,balls,strikes,pitch_num_on_event,strike_on_event,swing_on_event,pitchout_on_event,blocked_on_event,pickoffs_to_first,pickoffs_to_second,pickoffs_to_third,pitchouts,pitches_run_on,total_outs
ANA201804020,ANA,CLE,2018-04-02 19:07:00,SB2,True,True,3,False,1,ramij002,maldm001,lindf001,True,False,False,zimmb001,N/A,N/A,B1>B,1,1,0,2,False,False,False,False,1,0,0,0,1,13
ANA201804040,ANA,CLE,2018-04-04 13:08:00,SB2,True,True,2,False,2,skagt001,maldm001,lindf001,True,False,False,davir003,N/A,N/A,>C,0,0,0,1,True,False,False,False,0,0,0,0,1,8
ANA201804040,ANA,CLE,2018-04-04 13:08:00,SB2,True,True,5,False,2,skagt001,maldm001,kipnj001,True,False,False,lindf001,N/A,N/A,1T11S*B1FF>B,5,1,2,6,False,False,False,False,4,0,0,0,1,26
ANA201804060,ANA,OAK,2018-04-06 19:07:00,POCS2(1361),True,False,4,False,0,woodb004,maldm001,joycm001,True,False,False,poweb002,N/A,N/A,BBSBS1,5,3,2,-1,False,False,False,False,1,0,0,0,0,18
ANA201804060,ANA,OAK,2018-04-06 19:07:00,SB2,True,True,8,True,0,garcj002,lucrj001,simma001,True,False,False,calhk001,N/A,N/A,B>B,1,1,0,2,False,False,False,False,0,0,0,0,1,45
ANA201804070,ANA,OAK,2018-04-07 18:08:00,SB2,True,True,2,False,2,ramij002,river003,joycm001,True,False,True,smolj002,N/A,piscs001,SF*B*B,3,1,2,4,False,False,False,True,0,0,0,0,0,8
ANA201804080,ANA,OAK,2018-04-08 13:08:00,SB2,True,True,4,True,1,hendl001,lucrj001,uptoj001,True,False,True,troum001,N/A,cozaz001,.S*B1S*B,3,1,2,4,False,False,False,True,1,0,0,0,0,22
ANA201804200,ANA,SFN,2018-04-20 19:08:00,SB2,True,True,5,True,0,samaj001,hundn001,calhk001,True,False,False,simma001,N/A,N/A,B>C,1,1,0,2,True,False,False,False,0,0,0,0,1,27
ANA201804210,ANA,SFN,2018-04-21 18:08:00,K+CS2(26)/DP,True,False,3,False,1,richg002,river003,sandp001,True,False,False,mccua001,N/A,N/A,C1BBFFB>F>S,7,3,2,8,True,True,False,False,1,0,0,0,2,13
ANA201804210,ANA,SFN,2018-04-21 18:08:00,SB3,True,True,8,True,1,dysos001,hundn001,uptoj001,False,True,False,N/A,troum001,N/A,BF>C,2,1,1,3,True,False,False,False,0,0,0,0,1,46
ANA201804220,ANA,SFN,2018-04-22 13:07:00,SB2,True,True,4,False,2,parkb001,maldm001,panij002,True,False,False,blang001,N/A,N/A,B11>B,1,1,0,2,False,False,False,False,2,0,0,0,1,20
ANA201804270,ANA,NYA,2018-04-27 19:08:00,CS2(24),True,False,1,True,0,sevel001,sancg002,troum001,True,False,False,kinsi001,N/A,N/A,B1>B,1,1,0,2,False,False,False,False,1,0,0,0,1,3
ANA201804290,ANA,NYA,2018-04-29 17:08:00,SB2,True,True,9,True,2,chapa001,sancg002,kinsi001,True,False,False,younc004,N/A,N/A,CFFFF>B,5,0,2,6,False,False,False,False,0,0,0,0,1,53
ANA201805020,ANA,BAL,2018-05-02 19:07:00,SB2,True,True,2,True,0,bundd001,josec002,cozaz001,True,False,False,simma001,N/A,N/A,F1BB>F>F11>B,5,2,2,6,False,False,False,False,3,0,0,0,3,9
ANA201805030,ANA,BAL,2018-05-03 19:07:00,K+CS2(24)/DP,True,False,3,True,1,castm002,siscc001,kinsi001,True,False,False,calhk001,N/A,N/A,BCBS*BBF>S,7,4,2,8,True,True,False,False,0,0,0,0,1,16
ANA201805110,ANA,MIN,2018-05-11 19:09:00,K+SB2,True,True,6,True,1,hildt001,wilsb002,maldm001,True,False,False,calhk001,N/A,N/A,.1CBSF1>S,4,1,2,5,True,True,False,False,2,0,0,0,1,34
ANA201805120,ANA,MIN,2018-05-12 18:08:00,K+CS2(26)/DP,True,False,9,False,1,middk001,river003,morrl001,True,False,False,rosae001,N/A,N/A,C1FFF>S,4,0,2,5,True,True,False,False,1,0,0,0,1,49
ANA201805120,ANA,MIN,2018-05-12 18:08:00,SB2,True,True,11,True,1,hildt001,garvm001,uptoj001,True,False,False,troum001,N/A,N/A,11C>S,1,0,1,2,True,True,False,False,2,0,0,0,1,64
ANA201805130,ANA,MIN,2018-05-13 13:08:00,SB2,True,True,4,True,1,romef001,wilsb002,valbl001,True,False,False,simma001,N/A,N/A,BF1S>B,3,1,2,4,False,False,False,False,1,0,0,0,1,22
ANA201805140,ANA,HOU,2018-05-14 19:08:00,SB2,True,True,2,True,1,mccul002,stasm001,valbl001,True,False,False,simma001,N/A,N/A,B1FBS>B,4,2,2,5,False,False,False,False,1,0,0,0,1,10
ANA201805150,ANA,HOU,2018-05-15 19:08:00,CS2(26),True,False,1,True,2,coleg001,mccab002,valbl001,True,False,False,simma001,N/A,N/A,>C,0,0,0,1,True,False,False,False,0,0,0,0,1,5
ANA201805150,ANA,HOU,2018-05-15 19:08:00,SB2,True,True,9,False,0,johnj010,river003,gatte001,True,False,False,gonzm002,N/A,N/A,CB*B,2,1,1,3,False,False,False,True,0,0,0,0,0,48
ANA201805170,ANA,TBA,2018-05-17 19:08:00,SB2,True,True,7,False,1,johnj010,maldm001,robed004,True,False,False,cronc002,N/A,N/A,*B>S,1,1,0,2,True,True,False,False,0,0,0,0,1,37
ANA201805180,ANA,TBA,2018-05-18 19:08:00,SB2,True,True,9,False,0,paree001,maldm001,arroc001,True,False,False,smitm007,N/A,N/A,>B,0,0,0,1,False,False,False,False,0,0,0,0,1,48
ANA201805190,ANA,TBA,2018-05-19 18:08:00,SB3,True,True,8,True,0,yarbr001,sucrj001,martj007,False,True,False,N/A,kinsi001,N/A,BB>C,2,2,0,3,True,False,False,False,0,0,0,0,1,45
ANA201805200,ANA,TBA,2018-05-20 13:09:00,SB2,True,True,1,True,0,romos001,ramow001,troum001,True,False,False,kinsi001,N/A,N/A,>B,0,0,0,1,False,False,False,False,0,0,0,0,1,3
ANA201805200,ANA,TBA,2018-05-20 13:09:00,K+SB2,True,True,5,True,0,alvaj004,ramow001,uptoj001,True,False,False,troum001,N/A,N/A,CS1B>S,3,1,2,4,True,True,False,False,1,0,0,0,1,27
ANA201805200,ANA,TBA,2018-05-20 13:09:00,SB3,True,True,5,True,1,alvaj004,ramow001,simma001,False,True,False,N/A,troum001,N/A,B>B,1,1,0,2,False,False,False,False,0,0,0,0,1,28
ANA201806020,ANA,TEX,2018-06-02 18:27:00,SB2,True,True,6,True,0,hamec001,chirr001,uptoj001,True,False,False,troum001,N/A,N/A,BF1,2,1,1,-1,False,False,False,False,1,0,0,0,0,33
ANA201806040,ANA,KCA,2018-06-04 19:07:00,SB2,True,True,2,False,1,tropn001,maldm001,almoa001,True,False,False,escoa003,N/A,N/A,BCSB1>B,4,2,2,5,False,False,False,False,1,0,0,0,1,7
ANA201806050,ANA,KCA,2018-06-05 19:08:00,CS2(24).3-H,True,False,5,True,2,mccak002,peres002,martj007,True,False,True,hermm001,N/A,younc004,C>C,1,0,1,2,True,False,False,False,0,0,0,0,1,29
ANA201806060,ANA,KCA,2018-06-06 19:08:00,CS2(24),True,False,5,False,0,johnj010,maldm001,escoa003,True,False,False,merrw001,N/A,N/A,11B1>C,1,1,0,2,True,False,False,False,3,0,0,0,1,24
ANA201806180,ANA,ARI,2018-06-18 19:08:00,K+CS2(24)/DP,True,False,1,True,1,greiz001,mathj001,uptoj001,True,False,False,troum001,N/A,N/A,CFBFBB>F>C,7,3,2,8,True,False,False,False,0,0,0,0,2,4
ANA201806210,ANA,TOR,2018-06-21 19:08:00,SB2,True,True,6,True,0,barnd002,maill001,maldm001,True,False,False,calhk001,N/A,N/A,CF>B,2,0,2,3,False,False,False,False,0,0,0,0,1,33
ANA201806230,ANA,TOR,2018-06-23 18:08:00,CS2(24),True,False,9,False,1,andej005,bricj001,diaza003,True,False,False,martr004,N/A,N/A,>S,0,0,0,1,True,True,False,False,0,0,0,0,1,49
ANA201806240,ANA,TOR,2018-06-24 13:08:00,POCS3(1456),True,False,8,True,2,teper001,maill001,younc004,False,True,False,N/A,maldm001,N/A,FBF2,3,1,2,-1,False,False,False,False,0,1,0,0,0,47
ANA201807060,ANA,LAN,2018-07-06 19:07:00,SB2.1-3(E2/TH),True,True,9,True,2,jansk001,grany001,fletd002,True,False,False,ohtas001,N/A,N/A,1>B,0,0,0,1,False,False,False,False,1,0,0,0,1,53
ANA201807100,ANA,SEA,2018-07-10 19:09:00,CS2(26),True,False,4,True,2,leakm001,herrc001,valbl001,True,False,False,kinsi001,N/A,N/A,>C,0,0,0,1,True,False,False,False,0,0,0,0,1,23
