outcome,outs,on_third,num_pitches,is_hitters_count,is_pitchers_count,pickoffs_to_first,pitchouts,pitches_run_on,pitcher_throws_left,batter_bats_left,p_sb_rate_2017,p_pickoff_rate_2018,p_fastball_rate_2018,r_sb_rate_2017,r_sprint_speed_2018,c_sb_rate_2017,c_pop_2b_sba_2018
SUCCESS,1,False,1,False,False,1,0,1,False,True,0.7368421052631579,0.0,0.4921875,1.0,29.4,0.61,1.97
SUCCESS,2,False,0,False,False,0,0,1,True,False,0.875,0.03333333333333333,0.5803324099722992,0.8,29.2,0.61,1.97
SUCCESS,2,False,5,False,True,4,0,1,True,True,0.875,0.03333333333333333,0.5803324099722992,0.8235294117647058,28.4,0.61,1.97
FAILURE,0,False,5,False,False,1,0,0,False,True,0.6666666666666666,0.5,0.47150259067357514,0.0,28.2,0.61,1.97
SUCCESS,0,False,1,False,False,0,0,1,False,False,1.0,0.0,0.5450901803607214,1.0,26.1,0.73,2.0
SUCCESS,2,True,3,False,True,0,0,0,False,True,0.7368421052631579,0.0,0.4921875,,27.6,0.63,2.0
SUCCESS,1,True,3,False,True,1,0,0,False,False,1.0,0.0,0.6964285714285714,0.8461538461538461,29.3,0.73,2.0
SUCCESS,0,False,1,False,False,0,0,1,False,True,0.5,0.0,0.6335403726708074,0.75,27.1,0.71,2.04
FAILURE,1,False,7,False,False,1,0,2,False,True,,0.0,0.5034272658035034,0.75,28.7,0.63,2.0
SUCCESS,2,False,1,False,False,2,0,1,False,True,0.75,0.0,0.581151832460733,0.9166666666666666,28.5,0.61,1.97
FAILURE,0,False,1,False,False,1,0,1,False,False,0.6666666666666666,0.015151515151515152,0.5041243654822335,0.7058823529411765,26.6,0.62,1.94
SUCCESS,2,False,5,False,True,0,0,1,True,False,0.7777777777777778,0.0,0.7380434782608696,0.5,27.3,0.62,1.94
SUCCESS,0,False,5,False,True,3,0,3,False,False,0.5,0.0,0.5566104078762306,0.75,27.1,0.8200000000000001,2.04
FAILURE,1,False,7,False,False,0,0,1,False,False,0.6,0.0,0.584931506849315,1.0,26.1,1.0,2.09
SUCCESS,1,False,4,False,True,2,0,1,False,False,1.0,0.0,0.42573402417962003,1.0,26.1,,2.09
FAILURE,1,False,4,False,True,1,0,1,False,True,0.0,0.0,0.6463022508038585,0.6153846153846154,28.0,0.63,2.0
SUCCESS,1,False,1,False,False,2,0,1,False,False,1.0,0.0,0.42573402417962003,0.8461538461538461,29.3,0.75,2.08
